:TYPE,:START_ID,:END_ID,publication_year:float,pmid:int,hdac6:boolean,autophagy:boolean,anatabine:boolean,evidence:string,document:string,pmc:string,citation:string,annotation:string,tau:boolean
DIRECTLY_INCREASES,5088,36327,2017.0,28209725,False,False,False,"Importantly, sTREM2 delivered to the hippocampi of both wild-type and Trem2-knockout mice elevated the expression of inflammatory cytokines and induced morphological changes of microglia.",#57:0,PMC5339672,"{""full_journal_name"": ""The Journal of experimental medicine"", ""pub_date"": ""2017-08-14"", ""ref"": ""28209725"", ""pub_year"": 2017, ""last_author"": ""Bu G"", ""type"": ""PubMed"", ""author_list"": [""Zhong L"", ""Chen XF"", ""Wang T"", ""Wang Z"", ""Liao C"", ""Wang Z"", ""Huang R"", ""Wang D"", ""Li X"", ""Wu L"", ""Jia L"", ""Zheng H"", ""Painter M"", ""Atagi Y"", ""Liu CC"", ""Zhang YW"", ""Fryer JD"", ""Xu H"", ""Bu G""], ""title"": ""Soluble TREM2 induces inflammatory responses and enhances microglial survival."", ""doi"": ""10.1084/jem.20160844""}","{""PublicationType"": [""Research""], ""Section"": [""Abstract""], ""mesh"": [""Alzheimer Disease"", ""Animals"", ""Cell Survival"", ""Glycogen Synthase Kinase 3 beta"", ""HEK293 Cells"", ""Humans"", ""Inflammation"", ""Membrane Glycoproteins"", ""Mice"", ""Mice, Inbred C57BL"", ""Microglia"", ""Mutation"", ""NF-kappa B"", ""Phosphatidylinositol 3-Kinases"", ""Proto-Oncogene Proteins c-akt"", ""Receptors, Immunologic"", ""Signal Transduction"", ""beta Catenin""], ""substances"": [""Membrane Glycoproteins"", ""NF-kappa B"", ""Receptors, Immunologic"", ""Trem2 protein, mouse"", ""beta Catenin"", ""Phosphatidylinositol 3-Kinases"", ""Glycogen Synthase Kinase 3 beta"", ""Proto-Oncogene Proteins c-akt""]}",False
DIRECTLY_INCREASES,43753,12683,2016.0,26631930,False,False,False,"In addition, tau may interact with actin to induce aligned bundles of actin filaments, thus modifying the organization of the cytoskeleton network",#59:49,,"{""full_journal_name"": ""Nature reviews. Neuroscience"", ""pub_date"": ""2016-04-20"", ""ref"": ""26631930"", ""pub_year"": 2016, ""last_author"": ""Mandelkow E"", ""type"": ""PubMed"", ""author_list"": [""Wang Y"", ""Mandelkow E""], ""title"": ""Tau in physiology and pathology."", ""doi"": ""10.1038/nrn.2015.1""}","{""Confidence"": [""High""], ""mesh"": [""Animals"", ""Humans"", ""Phosphorylation"", ""Protein Processing, Post-Translational"", ""Tauopathies"", ""tau Proteins""], ""substances"": [""tau Proteins""]}",False
DIRECTLY_INCREASES,29201,39960,1994.0,8282104,False,False,False,"The reaction with the diagnostic antibodies (Fig. 4) is similar to the examples shown previously for cdk2 (Fig. 2), MAP kinase [8], or GSK-3 [26], indicating the phosphorylation of the SP motifs for which these antibodies are sensitive (serines 199, 202, 235, 396, 404; see Fig. 1)",#57:72,,"{""full_journal_name"": ""FEBS letters"", ""pub_date"": ""1994-02-14"", ""ref"": ""8282104"", ""pub_year"": 1994, ""last_author"": ""Mandelkow E"", ""type"": ""PubMed"", ""author_list"": [""Baumann K"", ""Mandelkow EM"", ""Biernat J"", ""Piwnica-Worms H"", ""Mandelkow E""], ""title"": ""Abnormal Alzheimer-like phosphorylation of tau-protein by cyclin-dependent kinases cdk2 and cdk5.""}","{""Confidence"": [""High""], ""mesh"": [""Alzheimer Disease"", ""Amino Acid Sequence"", ""Animals"", ""Brain"", ""CDC2-CDC28 Kinases"", ""Calcium-Calmodulin-Dependent Protein Kinases"", ""Central Nervous System"", ""Chromatography, Gel"", ""Chromatography, Ion Exchange"", ""Cyclin-Dependent Kinase 2"", ""Cyclin-Dependent Kinase 5"", ""Cyclin-Dependent Kinases"", ""Electrophoresis, Polyacrylamide Gel"", ""Humans"", ""Microtubules"", ""Phosphorylation"", ""Protein Kinases"", ""Protein Serine-Threonine Kinases"", ""Recombinant Proteins"", ""Swine"", ""tau Proteins""], ""substances"": [""Recombinant Proteins"", ""tau Proteins"", ""Protein Kinases"", ""Cyclin-Dependent Kinase 5"", ""Protein Serine-Threonine Kinases"", ""Calcium-Calmodulin-Dependent Protein Kinases"", ""CDC2-CDC28 Kinases"", ""CDK2 protein, human"", ""CDK5 protein, human"", ""Cyclin-Dependent Kinase 2"", ""Cyclin-Dependent Kinases""]}",False
DIRECTLY_INCREASES,27218,40328,2011.0,21882945,False,False,False,"Importantly, MARK2-based phosphorylation of tau is accelerated by the priming activity of either Cdk5 or GSK3b [29], suggesting that tau phosphorylation involves a series of ordered kinase events.",#69:73,PMC3190966,"{""full_journal_name"": ""Future medicinal chemistry"", ""pub_date"": ""2011-12-23"", ""ref"": ""21882945"", ""pub_year"": 2011, ""last_author"": ""Gestwicki JE"", ""type"": ""PubMed"", ""author_list"": [""Miyata Y"", ""Koren J"", ""Kiray J"", ""Dickey CA"", ""Gestwicki JE""], ""title"": ""Molecular chaperones and regulation of tau quality control: strategies for drug discovery in tauopathies."", ""doi"": ""10.4155/fmc.11.88""}","{""Confidence"": [""High""], ""mesh"": [""Drug Evaluation, Preclinical"", ""HSP70 Heat-Shock Proteins"", ""HSP90 Heat-Shock Proteins"", ""Humans"", ""Molecular Chaperones"", ""Neuroprotective Agents"", ""Protein Interaction Mapping"", ""Tauopathies"", ""tau Proteins""], ""substances"": [""HSP70 Heat-Shock Proteins"", ""HSP90 Heat-Shock Proteins"", ""Molecular Chaperones"", ""Neuroprotective Agents"", ""tau Proteins""]}",False
DIRECTLY_INCREASES,38040,9796,2014.0,25036637,False,False,False,"NUDC interacted with the WD40 domain of FBXW2, NUDCD2 interacted with the RCC1 domain of FBXO24, and NUDCD3 interacted with the Kelch domain of KLHL38 (Figure 7B)",#58:38,PMC4104544,"{""full_journal_name"": ""Cell"", ""pub_date"": ""2014-10-21"", ""ref"": ""25036637"", ""pub_year"": 2014, ""last_author"": ""Lindquist S"", ""type"": ""PubMed"", ""author_list"": [""Taipale M"", ""Tucker G"", ""Peng J"", ""Krykbaeva I"", ""Lin ZY"", ""Larsen B"", ""Choi H"", ""Berger B"", ""Gingras AC"", ""Lindquist S""], ""title"": ""A quantitative chaperone interaction network reveals the architecture of cellular protein homeostasis pathways."", ""doi"": ""10.1016/j.cell.2014.05.039""}","{""Confidence"": [""High""], ""mesh"": [""HSP70 Heat-Shock Proteins"", ""HSP90 Heat-Shock Proteins"", ""Humans"", ""Protein Folding"", ""Protein Interaction Maps"", ""Tacrolimus Binding Proteins""], ""substances"": [""FKBP6 protein, human"", ""HSP70 Heat-Shock Proteins"", ""HSP90 Heat-Shock Proteins"", ""Tacrolimus Binding Proteins""]}",False
DIRECTLY_INCREASES,33520,870,2014.0,25036637,False,False,False,"BAG3 and BAG4 showed a strong association only with the small heat shock protein Hsp27 (Figure 5F) and the mRNA decapping complex member DCP1B, respectively (Figure 5G), whereas BAG1 interacted with several proteasome subunits (Figure S4C)",#58:38,PMC4104544,"{""full_journal_name"": ""Cell"", ""pub_date"": ""2014-10-21"", ""ref"": ""25036637"", ""pub_year"": 2014, ""last_author"": ""Lindquist S"", ""type"": ""PubMed"", ""author_list"": [""Taipale M"", ""Tucker G"", ""Peng J"", ""Krykbaeva I"", ""Lin ZY"", ""Larsen B"", ""Choi H"", ""Berger B"", ""Gingras AC"", ""Lindquist S""], ""title"": ""A quantitative chaperone interaction network reveals the architecture of cellular protein homeostasis pathways."", ""doi"": ""10.1016/j.cell.2014.05.039""}","{""Confidence"": [""Low""], ""mesh"": [""HSP70 Heat-Shock Proteins"", ""HSP90 Heat-Shock Proteins"", ""Humans"", ""Protein Folding"", ""Protein Interaction Maps"", ""Tacrolimus Binding Proteins""], ""substances"": [""FKBP6 protein, human"", ""HSP70 Heat-Shock Proteins"", ""HSP90 Heat-Shock Proteins"", ""Tacrolimus Binding Proteins""]}",False
DIRECTLY_INCREASES,38469,13041,2014.0,25036637,False,False,False,"Second, FKBP51 interacted with the Argonaute proteins AGO1 and AGO2, which are known Hsp90 clients involved in small RNA biogenesis (Iwasaki et al., 2010)",#58:38,PMC4104544,"{""full_journal_name"": ""Cell"", ""pub_date"": ""2014-10-21"", ""ref"": ""25036637"", ""pub_year"": 2014, ""last_author"": ""Lindquist S"", ""type"": ""PubMed"", ""author_list"": [""Taipale M"", ""Tucker G"", ""Peng J"", ""Krykbaeva I"", ""Lin ZY"", ""Larsen B"", ""Choi H"", ""Berger B"", ""Gingras AC"", ""Lindquist S""], ""title"": ""A quantitative chaperone interaction network reveals the architecture of cellular protein homeostasis pathways."", ""doi"": ""10.1016/j.cell.2014.05.039""}","{""Confidence"": [""High""], ""mesh"": [""HSP70 Heat-Shock Proteins"", ""HSP90 Heat-Shock Proteins"", ""Humans"", ""Protein Folding"", ""Protein Interaction Maps"", ""Tacrolimus Binding Proteins""], ""substances"": [""FKBP6 protein, human"", ""HSP70 Heat-Shock Proteins"", ""HSP90 Heat-Shock Proteins"", ""Tacrolimus Binding Proteins""]}",False
DIRECTLY_INCREASES,41118,6409,2014.0,25036637,False,False,False,"First, FKBP51 interacted with a subset of the kinases that interacted with CDC37 (Figure 3B)",#58:38,PMC4104544,"{""full_journal_name"": ""Cell"", ""pub_date"": ""2014-10-21"", ""ref"": ""25036637"", ""pub_year"": 2014, ""last_author"": ""Lindquist S"", ""type"": ""PubMed"", ""author_list"": [""Taipale M"", ""Tucker G"", ""Peng J"", ""Krykbaeva I"", ""Lin ZY"", ""Larsen B"", ""Choi H"", ""Berger B"", ""Gingras AC"", ""Lindquist S""], ""title"": ""A quantitative chaperone interaction network reveals the architecture of cellular protein homeostasis pathways."", ""doi"": ""10.1016/j.cell.2014.05.039""}","{""Confidence"": [""Medium""], ""mesh"": [""HSP70 Heat-Shock Proteins"", ""HSP90 Heat-Shock Proteins"", ""Humans"", ""Protein Folding"", ""Protein Interaction Maps"", ""Tacrolimus Binding Proteins""], ""substances"": [""FKBP6 protein, human"", ""HSP70 Heat-Shock Proteins"", ""HSP90 Heat-Shock Proteins"", ""Tacrolimus Binding Proteins""]}",False
DIRECTLY_INCREASES,1578,3334,2019.0,30962309,False,False,False,"Furthermore, miR-146a expression is increased in colonic mucosa of Crohn disease patients compared with ulcerative colitis and healthy controls, and it is increased in colonic tissue in both Crohn disease and ulcerative colitis (121).",#69:46,,"{""full_journal_name"": ""Journal of immunology (Baltimore, Md. : 1950)"", ""pub_date"": ""2019-12-27"", ""ref"": ""30962309"", ""pub_year"": 2019, ""last_author"": ""Zettl UK"", ""type"": ""PubMed"", ""author_list"": [""Boxberger N"", ""Hecker M"", ""Zettl UK""], ""title"": ""Dysregulation of Inflammasome Priming and Activation by MicroRNAs in Human Immune-Mediated Diseases."", ""doi"": ""10.4049/jimmunol.1801416""}","{""Confidence"": [""High""], ""mesh"": [""Autoimmune Diseases"", ""Caspase 1"", ""Caspase 8"", ""Humans"", ""Inflammasomes"", ""MicroRNAs"", ""NLR Family, Pyrin Domain-Containing 3 Protein"", ""Receptors, Interleukin"", ""Signal Transduction"", ""Toll-Like Receptors""], ""substances"": [""Inflammasomes"", ""MIRN155 microRNA, human"", ""MIRN223 microRNA, human"", ""MicroRNAs"", ""NLR Family, Pyrin Domain-Containing 3 Protein"", ""NLRP3 protein, human"", ""Receptors, Interleukin"", ""Toll-Like Receptors"", ""CASP8 protein, human"", ""Caspase 8"", ""Caspase 1""]}",False
DIRECTLY_INCREASES,3473,34646,2017.0,28148553,False,False,False,"The 2N4R tau encoding virus increased 4R tau mRNA from 80 +/- 10 (control) to 5,000 +/- 2,000 copies/ng total mRNA; the 2N3R tau- encoding virus increased 3R tau mRNA from 1,800 +/- 700 to 7,600 +/- 300 copies/ ng total mRNA; the specific increase of 4R and 3R tau protein was confirmed by Western blot (Appendix Fig S1A and B).",#59:55,PMC5331260,"{""full_journal_name"": ""EMBO molecular medicine"", ""pub_date"": ""2017-10-04"", ""ref"": ""28148553"", ""pub_year"": 2017, ""last_author"": ""H\u00f6glinger GU"", ""type"": ""PubMed"", ""author_list"": [""Bruch J"", ""Xu H"", ""R\u00f6sler TW"", ""De Andrade A"", ""Kuhn PH"", ""Lichtenthaler SF"", ""Arzberger T"", ""Winklhofer KF"", ""M\u00fcller U"", ""H\u00f6glinger GU""], ""title"": {""#text"": ""PERK activation mitigates tau pathology  and ."", ""i"": [""in\u00a0vitro"", ""in\u00a0vivo""]}, ""doi"": ""10.15252/emmm.201606664""}","{""Cell"": [""neuroblast""], ""CellLine"": [""immortal human fetal membrane-derived cell line cell""], ""Confidence"": [""High""], ""mesh"": [""Animals"", ""Brain"", ""Cell Survival"", ""Cells, Cultured"", ""Humans"", ""Locomotion"", ""Memory"", ""Mice, Transgenic"", ""Phosphorylation"", ""Protein Conformation"", ""Protein Processing, Post-Translational"", ""Tauopathies"", ""eIF-2 Kinase"", ""tau Proteins""], ""substances"": [""MAPT protein, human"", ""tau Proteins"", ""EIF2AK3 protein, human"", ""eIF-2 Kinase""]}",False
