:TYPE,:START_ID,:END_ID,actions:string,known_action:string
EBEL_DRUGBANK_RELATION,25794,43473,inhibitor,yes
EBEL_DRUGBANK_RELATION,26060,35549,inhibitor,unknown
EBEL_DRUGBANK_RELATION,26155,37980,inhibitor,yes
EBEL_DRUGBANK_RELATION,17726,41257,antagonist,yes
EBEL_DRUGBANK_RELATION,26156,35627,inhibitor,yes
EBEL_DRUGBANK_RELATION,26157,32247,antagonist,yes
EBEL_DRUGBANK_RELATION,22602,36531,agonist,unknown
EBEL_DRUGBANK_RELATION,22436,30910,inhibitor,yes
EBEL_DRUGBANK_RELATION,22766,42877,inhibitor,yes
EBEL_DRUGBANK_RELATION,17673,41257,antagonist,unknown
EBEL_DRUGBANK_RELATION,25898,11176,inhibitor,unknown
EBEL_DRUGBANK_RELATION,12553,34571,agonist,yes
EBEL_DRUGBANK_RELATION,17955,37492,inhibitor,yes
EBEL_DRUGBANK_RELATION,25690,43228,agonist,yes
EBEL_DRUGBANK_RELATION,22496,41200,agonist,unknown
EBEL_DRUGBANK_RELATION,26111,43043,activator,unknown
EBEL_DRUGBANK_RELATION,17617,42809,antagonist,unknown
EBEL_DRUGBANK_RELATION,17957,7922,inhibitor,unknown
EBEL_DRUGBANK_RELATION,22817,36025,inhibitor,yes
EBEL_DRUGBANK_RELATION,17568,3497,agonist,unknown
EBEL_DRUGBANK_RELATION,22555,35627,inhibitor,yes
EBEL_DRUGBANK_RELATION,17570,30976,antagonist,unknown
EBEL_DRUGBANK_RELATION,22556,25448,inhibitor,yes
EBEL_DRUGBANK_RELATION,26066,34974,antagonist,yes
EBEL_DRUGBANK_RELATION,12507,36060,antagonist,unknown
EBEL_DRUGBANK_RELATION,17899,25134,inhibitor,yes
EBEL_DRUGBANK_RELATION,22821,38068,inhibitor,unknown
EBEL_DRUGBANK_RELATION,26115,39142,antagonist,yes
EBEL_DRUGBANK_RELATION,17960,37803,antagonist,yes
EBEL_DRUGBANK_RELATION,22716,43401,inhibitor,unknown
EBEL_DRUGBANK_RELATION,25802,11408,inhibitor,yes
