:TYPE,:START_ID,:END_ID,kegg_species_id:string,interaction_type:string,kegg:string,kegg_int_type:string
KEGG_DECREASES,37346,11266,hsa,inhibition;phosphorylation,#2410:812,PPrel
KEGG_DECREASES,35546,7739,hsa,inhibition,#2410:1917,PPrel
KEGG_DECREASES,35447,3813,hsa,inhibition,#2410:1429,PPrel
KEGG_DECREASES,33677,32226,hsa,inhibition;indirect effect,#2410:1323,PPrel
KEGG_DECREASES,38938,42591,hsa,inhibition,#2410:2762,PPrel
KEGG_DECREASES,16835,40937,hsa,inhibition;phosphorylation,#2410:2579,PPrel
KEGG_DECREASES,36584,3710,hsa,inhibition;phosphorylation,#2410:2351,PPrel
KEGG_DECREASES,44370,37623,hsa,inhibition;phosphorylation,#2410:2297,PPrel
KEGG_DECREASES,33331,11450,hsa,inhibition;phosphorylation,#2410:2264,PPrel
KEGG_DECREASES,42224,32419,hsa,inhibition,#2410:2112,PPrel
KEGG_DECREASES,36945,39123,hsa,inhibition,#2410:2029,PPrel
KEGG_DECREASES,43493,42390,hsa,inhibition;phosphorylation,#2410:3112,PPrel
KEGG_DECREASES,37311,39014,hsa,inhibition,#2411:1729,PPrel
KEGG_DECREASES,36736,34660,hsa,inhibition,#2411:1416,PPrel
KEGG_DECREASES,42273,36970,hsa,inhibition;dephosphorylation,#2411:1307,PPrel
KEGG_DECREASES,37346,11266,hsa,inhibition;phosphorylation,#2411:2749,PPrel
KEGG_DECREASES,39914,7739,hsa,inhibition,#2411:2554,PPrel
KEGG_DECREASES,39069,39816,hsa,inhibition,#2411:2344,PPrel
KEGG_DECREASES,44370,33374,hsa,inhibition;phosphorylation,#2411:2294,PPrel
KEGG_DECREASES,33331,43612,hsa,inhibition;phosphorylation,#2411:2262,PPrel
KEGG_DECREASES,40698,43493,hsa,inhibition;dephosphorylation,#2411:2106,PPrel
KEGG_DECREASES,3416,32419,hsa,inhibition,#2411:2011,PPrel
KEGG_DECREASES,16835,37364,hsa,inhibition;phosphorylation,#2411:3037,PPrel
KEGG_DECREASES,36584,16734,hsa,inhibition;phosphorylation,#2412:1538,PPrel
KEGG_DECREASES,41960,43960,hsa,inhibition;dephosphorylation,#2412:1387,PPrel
KEGG_DECREASES,44100,43056,hsa,inhibition,#2412:1258,PPrel
KEGG_DECREASES,37046,41290,hsa,inhibition;phosphorylation,#2412:2512,PPrel
KEGG_DECREASES,36658,7740,hsa,inhibition;phosphorylation,#2412:2318,PPrel
KEGG_DECREASES,35400,41297,hsa,inhibition;phosphorylation,#2412:2285,PPrel
KEGG_DECREASES,3415,44301,hsa,inhibition;phosphorylation,#2412:2244,PPrel
KEGG_DECREASES,41029,40204,hsa,inhibition,#2412:2092,PPrel
KEGG_DECREASES,35458,11354,hsa,inhibition,#2412:2001,PPrel
KEGG_DECREASES,37043,42888,hsa,inhibition,#2412:3004,PPrel
KEGG_DECREASES,25263,38869,hsa,inhibition;indirect effect,#2412:2712,PPrel
KEGG_DECREASES,3416,35136,hsa,inhibition,#2413:1491,PPrel
KEGG_DECREASES,8123,25132,hsa,inhibition;dephosphorylation,#2413:1380,PPrel
KEGG_DECREASES,41960,37346,hsa,inhibition;dephosphorylation,#2413:1206,PPrel
KEGG_DECREASES,39914,11354,hsa,inhibition,#2413:2440,PPrel
KEGG_DECREASES,36658,37815,hsa,inhibition;phosphorylation,#2413:2312,PPrel
KEGG_DECREASES,35400,21143,hsa,inhibition;phosphorylation,#2413:2280,PPrel
KEGG_DECREASES,3415,38713,hsa,inhibition;phosphorylation,#2413:2239,PPrel
KEGG_DECREASES,35458,30675,hsa,inhibition,#2413:2083,PPrel
KEGG_DECREASES,11107,33677,hsa,inhibition;indirect effect,#2413:1960,PPrel
KEGG_DECREASES,37947,42720,hsa,inhibition,#2413:2993,PPrel
KEGG_DECREASES,42224,35136,hsa,inhibition,#2413:2630,PPrel
KEGG_DECREASES,36945,34900,hsa,inhibition;phosphorylation,#2414:1344,PPrel
KEGG_DECREASES,32663,16582,hsa,inhibition,#2414:1004,PPrel
KEGG_DECREASES,32325,41546,hsa,inhibition;dephosphorylation,#2414:2370,PPrel
KEGG_DECREASES,36945,25537,hsa,inhibition;phosphorylation,#2414:2302,PPrel
KEGG_DECREASES,33331,29054,hsa,inhibition;phosphorylation,#2414:2269,PPrel
