:TYPE,:START_ID,:END_ID,kegg_species_id:string,interaction_type:string,kegg:string,kegg_int_type:string
KEGG_DECREASES_EXPRESSION,7681,18303,hsa,repression,#2410:1447,GErel
KEGG_DECREASES_EXPRESSION,41349,14179,hsa,repression,#2416:1855,GErel
KEGG_DECREASES_EXPRESSION,33561,10028,hsa,repression,#2427:1448,GErel
KEGG_DECREASES_EXPRESSION,37233,2838,hsa,repression,#2440:2619,GErel
KEGG_DECREASES_EXPRESSION,7715,18528,mmu,repression,#2419:5546,GErel
KEGG_DECREASES_EXPRESSION,33673,5969,mmu,repression;indirect effect,#2426:7055,GErel
KEGG_DECREASES_EXPRESSION,42317,10317,mmu,repression,#2437:7101,GErel
KEGG_DECREASES_EXPRESSION,42396,2869,rno,repression,#2421:11586,GErel
KEGG_DECREASES_EXPRESSION,41362,18511,rno,inhibition;repression,#2430:11764,GErel
KEGG_DECREASES_EXPRESSION,25576,5508,rno,repression,#2439:9719,GErel
KEGG_DECREASES_EXPRESSION,31078,13872,hsa,repression,#2410:2575,GErel
KEGG_DECREASES_EXPRESSION,34743,23509,hsa,inhibition;repression,#2416:2758,GErel
KEGG_DECREASES_EXPRESSION,32699,2902,hsa,repression;indirect effect,#2427:2455,GErel
KEGG_DECREASES_EXPRESSION,7681,18032,hsa,repression,#2441:1446,GErel
KEGG_DECREASES_EXPRESSION,11054,9922,mmu,repression;indirect effect,#2419:5581,GErel
KEGG_DECREASES_EXPRESSION,34881,20318,mmu,repression,#2426:7175,GErel
KEGG_DECREASES_EXPRESSION,43742,13746,mmu,inhibition;repression,#2437:7337,GErel
KEGG_DECREASES_EXPRESSION,25576,5520,rno,repression,#2422:9720,GErel
KEGG_DECREASES_EXPRESSION,32217,13920,rno,repression,#2430:12158,GErel
KEGG_DECREASES_EXPRESSION,41014,13996,rno,repression;indirect effect,#2439:9755,GErel
KEGG_DECREASES_EXPRESSION,44545,2838,hsa,repression,#2410:2620,GErel
KEGG_DECREASES_EXPRESSION,30628,20656,hsa,repression,#2417:1447,GErel
KEGG_DECREASES_EXPRESSION,33561,10108,hsa,repression,#2428:1448,GErel
KEGG_DECREASES_EXPRESSION,42894,2838,hsa,repression,#2441:2619,GErel
KEGG_DECREASES_EXPRESSION,25160,10247,mmu,repression,#2419:7153,GErel
KEGG_DECREASES_EXPRESSION,37567,18364,mmu,repression,#2426:7717,GErel
KEGG_DECREASES_EXPRESSION,25588,13977,mmu,repression,#2438:5545,GErel
KEGG_DECREASES_EXPRESSION,42396,10291,rno,repression,#2422:11586,GErel
KEGG_DECREASES_EXPRESSION,34569,13996,rno,repression;indirect effect,#2431:9755,GErel
KEGG_DECREASES_EXPRESSION,16783,23577,rno,repression,#2439:9756,GErel
KEGG_DECREASES_EXPRESSION,44396,14147,hsa,repression;indirect effect,#2410:2721,GErel
KEGG_DECREASES_EXPRESSION,33322,18096,hsa,repression;indirect effect,#2417:1483,GErel
KEGG_DECREASES_EXPRESSION,41731,13798,hsa,repression,#2428:1915,GErel
KEGG_DECREASES_EXPRESSION,7715,13977,mmu,repression,#2410:5546,GErel
KEGG_DECREASES_EXPRESSION,7715,2809,mmu,repression,#2420:5546,GErel
KEGG_DECREASES_EXPRESSION,39842,9922,mmu,repression;indirect effect,#2427:5580,GErel
KEGG_DECREASES_EXPRESSION,29321,13746,mmu,repression;indirect effect,#2438:7300,GErel
KEGG_DECREASES_EXPRESSION,33838,20646,rno,repression,#2422:12192,GErel
KEGG_DECREASES_EXPRESSION,21118,18299,rno,repression,#2431:11559,GErel
KEGG_DECREASES_EXPRESSION,25576,23643,rno,repression,#2440:9719,GErel
KEGG_DECREASES_EXPRESSION,33561,18032,hsa,repression,#2411:1447,GErel
KEGG_DECREASES_EXPRESSION,39655,2789,hsa,repression,#2417:1484,GErel
KEGG_DECREASES_EXPRESSION,44396,20602,hsa,repression,#2428:2430,GErel
KEGG_DECREASES_EXPRESSION,32717,5467,mmu,repression,#2410:6143,GErel
KEGG_DECREASES_EXPRESSION,11054,13974,mmu,repression;indirect effect,#2420:5581,GErel
KEGG_DECREASES_EXPRESSION,35109,9840,mmu,repression,#2427:5581,GErel
KEGG_DECREASES_EXPRESSION,43742,10027,mmu,inhibition;repression,#2438:7337,GErel
KEGG_DECREASES_EXPRESSION,16833,10042,rno,repression,#2423:9719,GErel
KEGG_DECREASES_EXPRESSION,8142,18217,rno,inhibition;repression,#2431:11764,GErel
KEGG_DECREASES_EXPRESSION,38775,5871,rno,repression;indirect effect,#2440:9755,GErel
KEGG_DECREASES_EXPRESSION,29035,18096,hsa,repression;indirect effect,#2411:1484,GErel
KEGG_DECREASES_EXPRESSION,44060,14147,hsa,inhibition;repression,#2417:2758,GErel
KEGG_DECREASES_EXPRESSION,16835,18371,hsa,repression,#2428:2552,GErel
KEGG_DECREASES_EXPRESSION,32717,20389,mmu,repression,#2410:6150,GErel
KEGG_DECREASES_EXPRESSION,29380,20254,mmu,repression,#2420:5582,GErel
KEGG_DECREASES_EXPRESSION,34881,10329,mmu,repression,#2427:7175,GErel
KEGG_DECREASES_EXPRESSION,25588,18087,mmu,repression,#2439:5545,GErel
KEGG_DECREASES_EXPRESSION,16833,5520,rno,repression,#2424:9719,GErel
