:TYPE,:START_ID,:END_ID,kegg_species_id:string,interaction_type:string,kegg:string,kegg_int_type:string
KEGG_INCREASES_EXPRESSION,40821,5734,hsa,expression,#2410:810,GErel
KEGG_INCREASES_EXPRESSION,36459,13795,hsa,expression,#2410:1850,GErel
KEGG_INCREASES_EXPRESSION,40940,10072,hsa,expression,#2410:2875,GErel
KEGG_INCREASES_EXPRESSION,35166,14039,hsa,expression,#2410:2833,GErel
KEGG_INCREASES_EXPRESSION,28961,5612,hsa,expression,#2410:2566,GErel
KEGG_INCREASES_EXPRESSION,40821,5734,hsa,expression,#2410:3124,GErel
KEGG_INCREASES_EXPRESSION,35166,18527,hsa,expression,#2411:1733,GErel
KEGG_INCREASES_EXPRESSION,42231,5492,hsa,expression,#2411:2807,GErel
KEGG_INCREASES_EXPRESSION,40940,2838,hsa,expression,#2411:2555,GErel
KEGG_INCREASES_EXPRESSION,16511,18514,hsa,expression,#2411:3106,GErel
KEGG_INCREASES_EXPRESSION,40940,13700,hsa,expression,#2411:2871,GErel
KEGG_INCREASES_EXPRESSION,34893,18154,hsa,expression,#2412:2545,GErel
KEGG_INCREASES_EXPRESSION,40940,10211,hsa,expression,#2412:1720,GErel
KEGG_INCREASES_EXPRESSION,35639,14106,hsa,expression,#2412:3069,GErel
KEGG_INCREASES_EXPRESSION,40940,2743,hsa,expression,#2412:2859,GErel
KEGG_INCREASES_EXPRESSION,35166,20467,hsa,expression,#2412:2770,GErel
KEGG_INCREASES_EXPRESSION,39813,10133,hsa,expression,#2413:1512,GErel
KEGG_INCREASES_EXPRESSION,37364,9882,hsa,expression,#2413:2503,GErel
KEGG_INCREASES_EXPRESSION,3643,13922,hsa,expression,#2413:3065,GErel
KEGG_INCREASES_EXPRESSION,40940,20294,hsa,expression,#2413:2858,GErel
KEGG_INCREASES_EXPRESSION,40821,18193,hsa,expression,#2413:2760,GErel
KEGG_INCREASES_EXPRESSION,8075,5912,hsa,expression,#2414:1511,GErel
KEGG_INCREASES_EXPRESSION,37111,9951,hsa,expression,#2414:3015,GErel
KEGG_INCREASES_EXPRESSION,40940,23649,hsa,expression,#2414:2853,GErel
KEGG_INCREASES_EXPRESSION,7974,5748,hsa,expression,#2414:2735,GErel
KEGG_INCREASES_EXPRESSION,43509,2838,hsa,expression,#2414:2502,GErel
KEGG_INCREASES_EXPRESSION,7681,18303,hsa,expression,#2415:1448,GErel
KEGG_INCREASES_EXPRESSION,33561,10130,hsa,expression,#2415:3047,GErel
KEGG_INCREASES_EXPRESSION,40940,3150,hsa,expression,#2415:2853,GErel
KEGG_INCREASES_EXPRESSION,7974,20293,hsa,expression,#2415:2735,GErel
KEGG_INCREASES_EXPRESSION,44186,2838,hsa,expression,#2415:2502,GErel
KEGG_INCREASES_EXPRESSION,16821,10133,hsa,expression,#2416:1512,GErel
KEGG_INCREASES_EXPRESSION,37839,14106,hsa,expression,#2416:3069,GErel
