:ID,:LABEL,namespace:string,pure:boolean,involved_other:string,chebi:float,bel:string,name:string
1638,Abundance,MESHA,False,Microglia,,"a(MESHA:""Microglia"")",Microglia
1639,Abundance,PUBCHEM,False,3086007,,"a(PUBCHEM:""3086007"")",3086007
1640,Abundance,CHEBI,False,vitamin E,33234.0,"a(CHEBI:""vitamin E"")",vitamin E
1641,Abundance,CHEBI,False,fisetin,42567.0,"a(CHEBI:""fisetin"")",fisetin
1642,Abundance,CHEBI,False,lipopolysaccharide,16412.0,"a(CHEBI:""lipopolysaccharide"")",lipopolysaccharide
1643,Abundance,CHEBI,False,Geniposide,5299.0,"a(CHEBI:""Geniposide"")",Geniposide
1644,Abundance,MESHC,False,Copper,,"a(MESHC:""Copper"")",Copper
1645,Abundance,PUBCHEM,False,2880983,,"a(PUBCHEM:""2880983"")",2880983
1646,Abundance,CHEBI,,sialic acid,,"a(CHEBI:""sialic acid"",loc(MESHA:""Neurons""))",sialic acid
1647,Abundance,CHEBI,False,nitrate,17632.0,"a(CHEBI:""nitrate"")",nitrate
1648,Abundance,CHEBI,False,44932,,"a(CHEBI:""44932"")",44932
1649,Abundance,PUBCHEM,False,355052570,,"a(PUBCHEM:""355052570"")",355052570
1650,Abundance,CHEBI,False,amyloid-beta,64645.0,"a(CHEBI:""amyloid-beta"")",amyloid-beta
1651,Abundance,PUBCHEM,False,6440944,,"a(PUBCHEM:""6440944"")",6440944
1652,Abundance,CHEBI,False,losartan,6541.0,"a(CHEBI:""losartan"")",losartan
1653,Abundance,CONSO,False,CONSO00021,,"a(CONSO:""CONSO00021"")",CONSO00021
1654,Abundance,MESH,False,Cholinergic Neurons,,"a(MESH:""Cholinergic Neurons"")",Cholinergic Neurons
1655,Abundance,CHEBI,False,sulforaphane,47807.0,"a(CHEBI:""sulforaphane"")",sulforaphane
1656,Abundance,CHEBI,False,morphine,17303.0,"a(CHEBI:""morphine"")",morphine
1657,Abundance,CHEBI,False,112284,,"a(CHEBI:""112284"")",112284
1658,Abundance,PUBCHEM,False,3108148,,"a(PUBCHEM:""3108148"")",3108148
1659,Abundance,MESHA,False,Monocytes,,"a(MESHA:""Monocytes"")",Monocytes
1660,Abundance,MESH,,Autophagy-Related Proteins,,"a(MESH:""Autophagy-Related Proteins"",loc(GO:""phagophore assembly site""))",Autophagy-Related Proteins
