:ID,:LABEL,namespace:string,species:float,involved_other:string,default:string,bel:string,name:string,involved_genes:string
0,Activity,,,,,"act(p(HGNCGENEFAMILY:""Caspases""))",,Caspases
1,Activity,,10116.0,,,"act(p(RGD:""Rassf5""))",,Rassf5
2,Activity,,9606.0,,,"act(p(HGNC:""NFATC1""))",,NFATC1
3,Activity,,10116.0,,cat,"act(p(RGD:""Mgat4c""),ma(cat))",,Mgat4c
4,Activity,,9606.0,,,"act(p(HGNC:""FANCL""))",,FANCL
5,Activity,,10090.0,,,"act(p(MGI:""Ddit4""))",,Ddit4
6,Activity,,9606.0,,,"act(p(HGNC:""ZNRF3""))",,ZNRF3
7,Activity,,9606.0,,,"act(p(HGNC:""AKT1""))",,AKT1
8,Activity,,9606.0,,,"act(p(HGNC:""ATG7""))",,ATG7
9,Activity,,10116.0,,cat,"act(p(RGD:""Mecr""),ma(cat))",,Mecr
10,Activity,,9606.0,,,"act(complex(p(HGNC:""ACVR1""),p(HGNC:""ACVR2A"")))",,ACVR1;ACVR2A
11,Activity,,10090.0,,cat,"act(p(MGI:""Pgls""),ma(cat))",,Pgls
12,Activity,,,chloride,,"act(a(CHEBI:""chloride""))",,
13,Activity,,9606.0,,,"act(p(HGNC:""MARK4""))",,MARK4
14,Activity,,9606.0,,,"act(p(HGNC:""VEGFA""))",,VEGFA
15,Activity,,7227.0,,cat,"act(p(FLYBASE:""CG7322""),ma(cat))",,CG7322
16,Activity,,10116.0,,cat,"act(p(RGD:""Dolk""),ma(cat))",,Dolk
17,Activity,,7227.0,,,"act(p(FLYBASE:""ft""))",,ft
18,Activity,,10090.0,,cat,"act(p(MGI:""St6galnac6""),ma(cat))",,St6galnac6
19,Activity,,7227.0,,cat,"act(p(FLYBASE:""CG10361""),ma(cat))",,CG10361
20,Activity,,9606.0,,,"act(p(HGNC:""ATF4""))",,ATF4
21,Activity,,10090.0,,,"act(p(MGI:""Atm""))",,Atm
22,Activity,,,Proteasome Endopeptidase Complex,,"act(a(MESH:""Proteasome Endopeptidase Complex""))",,
23,Activity,,10090.0,,,"act(p(MGI:""Sox9""))",,Sox9
24,Activity,,9606.0,,cat,"act(p(HGNC:""PGM3""),ma(cat))",,PGM3
25,Activity,,10090.0,,,"act(p(MGI:""Cdkn2b""))",,Cdkn2b
26,Activity,,9606.0,,,"act(p(HGNC:""S1PR4""))",,S1PR4
27,Activity,,10090.0,,,"act(p(MGI:""Zfyve1""))",,Zfyve1
28,Activity,,9606.0,,,"act(p(HGNC:""ROCK2""))",,ROCK2
29,Activity,,9606.0,,,"act(p(HGNC:""CAPN1""))",,CAPN1
