:ID,:LABEL,namespace:string,bel:string,name:string,involved_other:string
2184,BiologicalProcess,GOBP,"bp(GOBP:""inflammatory response"")",inflammatory response,inflammatory response
2185,BiologicalProcess,GOBP,"bp(GOBP:""neuron differentiation"")",neuron differentiation,neuron differentiation
2186,BiologicalProcess,MESHPP,"bp(MESHPP:""Stress, Physiological"")","Stress, Physiological","Stress, Physiological"
2187,BiologicalProcess,GOBP,"bp(GOBP:""cell activation"")",cell activation,cell activation
2188,BiologicalProcess,GOBP,"bp(GOBP:""macrophage differentiation"")",macrophage differentiation,macrophage differentiation
2189,BiologicalProcess,GOBP,"bp(GOBP:""memory"")",memory,memory
2190,BiologicalProcess,MESHPP,"bp(MESHPP:""Neuroprotection"")",Neuroprotection,Neuroprotection
2191,BiologicalProcess,GOBP,"bp(GOBP:""cell chemotaxis"")",cell chemotaxis,cell chemotaxis
2192,BiologicalProcess,GOBP,"bp(GOBP:""phospholipase C-activating G-protein coupled receptor signaling pathway"")",phospholipase C-activating G-protein coupled receptor signaling pathway,phospholipase C-activating G-protein coupled receptor signaling pathway
2193,BiologicalProcess,GOBP,"bp(GOBP:""intrinsic apoptotic signaling pathway by p53 class mediator"")",intrinsic apoptotic signaling pathway by p53 class mediator,intrinsic apoptotic signaling pathway by p53 class mediator
2194,BiologicalProcess,GOBP,"bp(GOBP:""B cell activation"")",B cell activation,B cell activation
2195,BiologicalProcess,FIXME,"bp(FIXME:""nicotine withdrawal"")",nicotine withdrawal,nicotine withdrawal
2196,BiologicalProcess,GOBP,"bp(GOBP:""regulation of energy homeostasis"")",regulation of energy homeostasis,regulation of energy homeostasis
2197,BiologicalProcess,GOBP,"bp(GOBP:""chemokine biosynthetic process"")",chemokine biosynthetic process,chemokine biosynthetic process
2198,BiologicalProcess,MESHPP,"bp(MESHPP:""Long-Term Potentiation"")",Long-Term Potentiation,Long-Term Potentiation
2199,BiologicalProcess,GOBP,"bp(GOBP:""neurotrophin production"")",neurotrophin production,neurotrophin production
2200,BiologicalProcess,GOBP,"bp(GOBP:""dopamine uptake"")",dopamine uptake,dopamine uptake
2201,BiologicalProcess,GOBP,"bp(GOBP:""positive regulation of leukocyte apoptotic process"")",positive regulation of leukocyte apoptotic process,positive regulation of leukocyte apoptotic process
2202,BiologicalProcess,GOBP,"bp(GOBP:""negative regulation of viral reproduction"")",negative regulation of viral reproduction,negative regulation of viral reproduction
2203,BiologicalProcess,PMIBP,"bp(PMIBP:""Neuronal injury-induced glial apoE secretion"")",Neuronal injury-induced glial apoE secretion,Neuronal injury-induced glial apoE secretion
2204,BiologicalProcess,CBP,"bp(CBP:""immune mediated tissue damage"")",immune mediated tissue damage,immune mediated tissue damage
2205,BiologicalProcess,GOBP,"bp(GOBP:""synapsis"")",synapsis,synapsis
2206,BiologicalProcess,GO,"bp(GO:""inflammatory response"")",inflammatory response,inflammatory response
2207,BiologicalProcess,GO,"bp(GO:""neurogenesis"")",neurogenesis,neurogenesis
2208,BiologicalProcess,GO,"bp(GO:""mitochondrial depolarization"")",mitochondrial depolarization,mitochondrial depolarization
2209,BiologicalProcess,GO,"bp(GO:""regulation of ryanodine-sensitive calcium-release channel activity"")",regulation of ryanodine-sensitive calcium-release channel activity,regulation of ryanodine-sensitive calcium-release channel activity
2210,BiologicalProcess,GO,"bp(GO:""proteasomal protein catabolic process"")",proteasomal protein catabolic process,proteasomal protein catabolic process
2211,BiologicalProcess,GO,"bp(GO:""retrograde axonal transport"")",retrograde axonal transport,retrograde axonal transport
2212,BiologicalProcess,MESH,"bp(MESH:""Cell Hypoxia"")",Cell Hypoxia,Cell Hypoxia
2213,BiologicalProcess,GO,"bp(GO:""neutrophil activation"")",neutrophil activation,neutrophil activation
2214,BiologicalProcess,GO,"bp(GO:""pathogenesis"")",pathogenesis,pathogenesis
2215,BiologicalProcess,GO,"bp(GO:""response to oxygen-glucose deprivation"")",response to oxygen-glucose deprivation,response to oxygen-glucose deprivation
2216,BiologicalProcess,GO,"bp(GO:""positive regulation of oligodendrocyte apoptotic process"")",positive regulation of oligodendrocyte apoptotic process,positive regulation of oligodendrocyte apoptotic process
2217,BiologicalProcess,GO,"bp(GO:""neuron remodeling"")",neuron remodeling,neuron remodeling
2218,BiologicalProcess,GO,"bp(GO:""phosphorylation"")",phosphorylation,phosphorylation
2219,BiologicalProcess,MESH,"bp(MESH:""Ultraviolet Rays"")",Ultraviolet Rays,Ultraviolet Rays
2220,BiologicalProcess,GO,"bp(GO:""calcineurin-mediated signaling"")",calcineurin-mediated signaling,calcineurin-mediated signaling
2221,BiologicalProcess,GO,"bp(GO:""GO:0008292"")",GO:0008292,GO:0008292
2222,BiologicalProcess,GO,"bp(GO:""mitochondrion distribution"")",mitochondrion distribution,mitochondrion distribution
2223,BiologicalProcess,GO,"bp(GO:""response to growth factor"")",response to growth factor,response to growth factor
2224,BiologicalProcess,GO,"bp(GO:""amino acid activation"")",amino acid activation,amino acid activation
2225,BiologicalProcess,MESH,"bp(MESH:""Hot Temperature"")",Hot Temperature,Hot Temperature
2226,BiologicalProcess,GOBP,"bp(GOBP:""glucose metabolic process"")",glucose metabolic process,glucose metabolic process
2227,BiologicalProcess,GOBP,"bp(GOBP:""JAK-STAT cascade"")",JAK-STAT cascade,JAK-STAT cascade
2228,BiologicalProcess,GOBP,"bp(GOBP:""mitochondrial translocation"")",mitochondrial translocation,mitochondrial translocation
2229,BiologicalProcess,GOBP,"bp(GOBP:""negative regulation of synaptic growth at neuromuscular junction"")",negative regulation of synaptic growth at neuromuscular junction,negative regulation of synaptic growth at neuromuscular junction
2230,BiologicalProcess,MESHPP,"bp(MESHPP:""Wnt Signaling Pathway"")",Wnt Signaling Pathway,Wnt Signaling Pathway
2231,BiologicalProcess,GOBP,"bp(GOBP:""insulin receptor signaling pathway"")",insulin receptor signaling pathway,insulin receptor signaling pathway
2232,BiologicalProcess,GOBP,"bp(GOBP:""cellular senescence"")",cellular senescence,cellular senescence
2233,BiologicalProcess,GOBP,"bp(GOBP:""metabolic process"")",metabolic process,metabolic process
2234,BiologicalProcess,GOBP,"bp(GOBP:""protein kinase A signaling"")",protein kinase A signaling,protein kinase A signaling
2235,BiologicalProcess,GOBP,"bp(GOBP:""cell cycle checkpoint"")",cell cycle checkpoint,cell cycle checkpoint
2236,BiologicalProcess,GOBP,"bp(GOBP:""axon cargo transport"")",axon cargo transport,axon cargo transport
2237,BiologicalProcess,GOBP,"bp(GOBP:""DNA biosynthetic process"")",DNA biosynthetic process,DNA biosynthetic process
2238,BiologicalProcess,ADO,"bp(ADO:""Mild_cognitive_impairment"")",Mild_cognitive_impairment,Mild_cognitive_impairment
2239,BiologicalProcess,GOBP,"bp(GOBP:""migration in host"")",migration in host,migration in host
2240,BiologicalProcess,GO,"bp(GO:""nicotine metabolic process"")",nicotine metabolic process,nicotine metabolic process
2241,BiologicalProcess,CONSO,"bp(CONSO:""CONSO00077"")",CONSO00077,CONSO00077
2242,BiologicalProcess,GO,"bp(GO:""carbohydrate utilization"")",carbohydrate utilization,carbohydrate utilization
2243,BiologicalProcess,GO,"bp(GO:""endocytosis"")",endocytosis,endocytosis
2244,BiologicalProcess,GO,"bp(GO:""cholesterol metabolic process"")",cholesterol metabolic process,cholesterol metabolic process
2245,BiologicalProcess,GO,"bp(GO:""axonal transport"")",axonal transport,axonal transport
2246,BiologicalProcess,GO,"bp(GO:""autophagosome-lysosome fusion"")",autophagosome-lysosome fusion,autophagosome-lysosome fusion
2247,BiologicalProcess,GO,"bp(GO:""cell proliferation"")",cell proliferation,cell proliferation
2248,BiologicalProcess,GO,"bp(GO:""cerebrospinal fluid secretion"")",cerebrospinal fluid secretion,cerebrospinal fluid secretion
2249,BiologicalProcess,GO,"bp(GO:""exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-independent decay"")",exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-independent decay,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-independent decay
2250,BiologicalProcess,GO,"bp(GO:""mast cell degranulation"")",mast cell degranulation,mast cell degranulation
2251,BiologicalProcess,GO,"bp(GO:""protein dephosphorylation"")",protein dephosphorylation,protein dephosphorylation
2252,BiologicalProcess,GO,"bp(GO:""bulk synaptic vesicle endocytosis"")",bulk synaptic vesicle endocytosis,bulk synaptic vesicle endocytosis
2253,BiologicalProcess,CONSO,"bp(CONSO:""non-enzymatic protein modification"")",non-enzymatic protein modification,non-enzymatic protein modification
2254,BiologicalProcess,GO,"bp(GO:""locomotor rhythm"")",locomotor rhythm,locomotor rhythm
2255,BiologicalProcess,GO,"bp(GO:""spontaneous synaptic transmission"")",spontaneous synaptic transmission,spontaneous synaptic transmission
2256,BiologicalProcess,GO,"bp(GO:""glial cell-derived neurotrophic factor receptor signaling pathway"")",glial cell-derived neurotrophic factor receptor signaling pathway,glial cell-derived neurotrophic factor receptor signaling pathway
2257,BiologicalProcess,GO,"bp(GO:""late endosomal microautophagy"")",late endosomal microautophagy,late endosomal microautophagy
2258,BiologicalProcess,GO,"bp(GO:""protein modification process"")",protein modification process,protein modification process
2259,BiologicalProcess,GO,"bp(GO:""bone growth"")",bone growth,bone growth
2260,BiologicalProcess,GOBP,"bp(GOBP:""regulation of mitochondrial membrane potential"")",regulation of mitochondrial membrane potential,regulation of mitochondrial membrane potential
2261,BiologicalProcess,MESHPP,"bp(MESHPP:""Synaptic Transmission"")",Synaptic Transmission,Synaptic Transmission
