:ID,:LABEL,bel:string,involved_genes:string,involved_other:string,species:float
12096,CellSecretion,"sec(p(CONSO:""sAPP-beta""))",sAPP-beta,,
12097,CellSecretion,"sec(p(HGNC:""MMP9""))",MMP9,,9606.0
12098,CellSecretion,"sec(a(CHEBI:""glutamate(2-)""))",,glutamate(2-),
12099,CellSecretion,"sec(a(CHEBI:""reactive nitrogen species""))",,reactive nitrogen species,
12100,CellSecretion,"sec(p(HGNC:""IGF1""))",IGF1,,9606.0
12101,CellSecretion,"sec(p(HGNC:""IL6""))",IL6,,9606.0
12102,CellSecretion,"sec(p(CONSO:""CONSO00067""))",CONSO00067,,
12103,CellSecretion,"sec(p(HGNC:""IL1B"",frag(""117_269"")))",IL1B,,9606.0
12104,CellSecretion,"sec(a(CHEBI:""adrenaline""))",,adrenaline,
12105,CellSecretion,"sec(p(HGNC:""IDE""))",IDE,,9606.0
12106,CellSecretion,"sec(p(HGNC:""VEGFA""))",VEGFA,,9606.0
12107,CellSecretion,"sec(p(HGNC:""MMP2""))",MMP2,,9606.0
12108,CellSecretion,"sec(a(MESH:""Growth Differentiation Factors""))",,Growth Differentiation Factors,
12109,CellSecretion,"sec(a(CHEBI:""insulin (human)""))",,insulin (human),
12110,CellSecretion,"sec(p(MESH:""Fibroblast Growth Factors""))",Fibroblast Growth Factors,,
12111,CellSecretion,"sec(p(HGNC:""NOS2""))",NOS2,,9606.0
12112,CellSecretion,"sec(a(MESH:""Amyloid beta-Peptides""))",,Amyloid beta-Peptides,
12113,CellSecretion,"sec(a(CHEBI:""glucose""))",,glucose,
12114,CellSecretion,"sec(a(CHEBI:""acetylcholine""))",,acetylcholine,
12115,CellSecretion,"sec(p(HGNC:""IL1A""))",IL1A,,9606.0
12116,CellSecretion,"sec(p(HGNC:""MME""))",MME,,9606.0
12117,CellSecretion,"sec(a(MESH:""Synaptic Vesicles""))",,Synaptic Vesicles,
12118,CellSecretion,"sec(p(HGNC:""DKK1""))",DKK1,,9606.0
12119,CellSecretion,"sec(p(HGNC:""IL12B""))",IL12B,,9606.0
12120,CellSecretion,"sec(a(MESH:""Extracellular Vesicles""))",,Extracellular Vesicles,
12121,CellSecretion,"sec(a(CHEBI:""amyloid-beta"",loc(GO:""presynapse"")))",,amyloid-beta,
12122,CellSecretion,"sec(p(HGNC:""CYCS""))",CYCS,,9606.0
12123,CellSecretion,"sec(p(HGNC:""INS""))",INS,,9606.0
12124,CellSecretion,"sec(p(MGI:""Cycs""))",Cycs,,10090.0
12125,CellSecretion,"sec(p(HGNC:""IL18"",frag(""37_193"")))",IL18,,9606.0
12126,CellSecretion,"sec(a(CHEBI:""Thrombin""))",,Thrombin,
12127,CellSecretion,"sec(a(CHEBI:""L-glutamate(1-)"",loc(MESH:""Presynaptic Terminals"")))",,L-glutamate(1-),
12128,CellSecretion,"sec(a(CHEBI:""prostaglandin""))",,prostaglandin,
12129,CellSecretion,"sec(p(HGNC:""TIMP1""))",TIMP1,,9606.0
12130,CellSecretion,"sec(p(HGNC:""IL17A""))",IL17A,,9606.0
12131,CellSecretion,"sec(p(HGNC:""GDNF""))",GDNF,,9606.0
12132,CellSecretion,"sec(a(CHEBI:""dopamine""))",,dopamine,
12133,CellSecretion,"sec(p(HGNC:""CLU""))",CLU,,9606.0
12134,CellSecretion,"sec(p(HGNC:""IL1B"",frag(""117_269"",""mature"")))",IL1B,,9606.0
12135,CellSecretion,"sec(p(HGNC:""IL10""))",IL10,,9606.0
12136,CellSecretion,"sec(a(CHEBI:""calcium(2+)"",loc(MESH:""Endoplasmic Reticulum"")))",,calcium(2+),
12137,CellSecretion,"sec(a(CHEBI:""growth hormone""))",,growth hormone,
12138,CellSecretion,"sec(p(MESH:""Interleukin-23""))",Interleukin-23,,
12139,CellSecretion,"sec(p(HGNC:""IL5""))",IL5,,9606.0
12140,CellSecretion,"sec(p(HGNC:""CCL2""))",CCL2,,9606.0
12141,CellSecretion,"sec(a(MESH:""Estradiol""))",,Estradiol,
12142,CellSecretion,"sec(a(CHEBI:""calcium ion""))",,calcium ion,
12143,CellSecretion,"sec(a(CHEBI:""cytochrome c""))",,cytochrome c,
12144,CellSecretion,"sec(p(HGNC:""IL18"",frag(""37_193"",""mature"")))",IL18,,9606.0
12145,CellSecretion,"sec(a(MESH:""Immunotoxins""))",,Immunotoxins,
12146,CellSecretion,"sec(p(MESH:""Cytochromes c""))",Cytochromes c,,
12147,CellSecretion,"sec(a(CHEBI:""neurotransmitter""))",,neurotransmitter,
12148,CellSecretion,"sec(p(HGNC:""CXCL13""))",CXCL13,,9606.0
12149,CellSecretion,"sec(a(CHEBI:""nitric oxide""))",,nitric oxide,
12150,CellSecretion,"sec(p(HGNC:""IL18""))",IL18,,9606.0
12151,CellSecretion,"sec(p(HGNC:""CGB3""))",CGB3,,9606.0
12152,CellSecretion,"sec(p(HGNC:""CCL20""))",CCL20,,9606.0
12153,CellSecretion,"sec(p(CONSO:""sAPP-alpha""))",sAPP-alpha,,
12154,CellSecretion,"sec(a(CHEBI:""potassium(1+)""))",,potassium(1+),
12155,CellSecretion,"sec(a(CHEBI:""amyloid-beta polypeptide 40""))",,amyloid-beta polypeptide 40,
12156,CellSecretion,"sec(p(HGNC:""THBS1""))",THBS1,,9606.0
12157,CellSecretion,"sec(a(MESH:""Hydrolases""))",,Hydrolases,
12158,CellSecretion,"sec(p(HGNC:""IFNG""))",IFNG,,9606.0
12159,CellSecretion,"sec(a(MESH:""Chemokines""))",,Chemokines,
12160,CellSecretion,"sec(a(MESH:""Glucocorticoids""))",,Glucocorticoids,
12161,CellSecretion,"sec(p(HGNC:""IL4""))",IL4,,9606.0
12162,CellSecretion,"sec(p(MGI:""Il1b""))",Il1b,,10090.0
12163,CellSecretion,"sec(p(HGNC:""IL1B""))",IL1B,,9606.0
12164,CellSecretion,"sec(p(HGNC:""MAPT""))",MAPT,,9606.0
12165,CellSecretion,"sec(a(MESH:""Cathepsins""))",,Cathepsins,
12166,CellSecretion,"sec(p(HGNC:""PRF1""))",PRF1,,9606.0
12167,CellSecretion,"sec(a(MESH:""Cytokines""))",,Cytokines,
12168,CellSecretion,"sec(a(CHEBI:""gamma-aminobutyric acid""))",,gamma-aminobutyric acid,
12169,CellSecretion,"sec(p(RGD:""Crh""))",Crh,,10116.0
12170,CellSecretion,"sec(p(HGNC:""TNF""))",TNF,,9606.0
12171,CellSecretion,"sec(p(HGNC:""EDN1""))",EDN1,,9606.0
12172,CellSecretion,"sec(p(HGNC:""PSEN1""))",PSEN1,,9606.0
12173,CellSecretion,"sec(p(MESH:""Endopeptidases""))",Endopeptidases,,
