:ID,:LABEL,namespace:string,species:float,pure:boolean,involved_other:string,bel:string,name:string,involved_genes:string
546,Complex,,9606.0,False,,"complex(p(HGNC:""APOE""),p(HGNC:""TREM2""))",,TREM2;APOE
547,Complex,,9606.0,False,,"complex(p(HGNC:""CDK5""),p(HGNC:""CDK5R1""),p(HGNC:""CDK5R2""))",,CDK5;CDK5R2;CDK5R1
548,Complex,,,False,,"complex(p(HGNC:""APOE""),p(HGNC:""LPL""),p(HGNCGENEFAMILY:""Low density lipoprotein receptors""))",,LPL;Low density lipoprotein receptors;APOE
549,Complex,,9606.0,False,endosome,"complex(a(GO:""endosome""),p(HGNC:""APP"",var(""?"")),p(HGNC:""NAE1"",var(""?"")))",,APP;NAE1
550,Complex,,,False,choline,"complex(a(CHEBI:""choline""),p(HGNC:""CHRNA7""),p(HGNCGENEFAMILY:""G protein subunits alpha, group q""))",,"CHRNA7;G protein subunits alpha, group q"
551,Complex,,10090.0,False,,"complex(p(MGI:""Pard3""),p(MGI:""Prkcz""),composite(p(MGI:""Pard6a""),p(MGI:""Pard6b""),p(MGI:""Pard6g"")))",,Pard6b;Pard6a;Pard3;Pard6g;Prkcz
552,Complex,,9606.0,False,,"complex(p(HGNC:""CASP8""),p(HGNC:""FADD""),p(HGNC:""PTPN13""))",,CASP8;FADD;PTPN13
553,Complex,,,False,,"complex(p(HGNC:""HDAC6""),p(HGNCGENEFAMILY:""Heat shock 90kDa proteins""))",,Heat shock 90kDa proteins;HDAC6
554,Complex,,9606.0,False,,"complex(p(HGNC:""FKBP5""),p(HGNC:""RAF1""))",,RAF1;FKBP5
555,Complex,,9606.0,False,,"complex(p(HGNC:""BCL2""),p(HGNC:""BECN1""))",,BECN1;BCL2
556,Complex,,,False,,"complex(g(MIRBASE:""rno-mir-195""),p(FPLX:""NFkappaB""))",,rno-mir-195;NFkappaB
557,Complex,,9606.0,False,,"complex(p(HGNC:""AXIN1""),p(HGNC:""AXIN2""),p(HGNC:""GSK3B""))",,GSK3B;AXIN1;AXIN2
558,Complex,,,False,,"complex(p(HGNC:""STUB1""),p(INTERPRO:""Heat shock protein 70 family""),p(INTERPRO:""Heat shock protein Hsp90 family""))",,STUB1;Heat shock protein Hsp90 family;Heat shock protein 70 family
559,Complex,,9606.0,False,,"complex(p(HGNC:""RMDN3""),p(HGNC:""VAPB""))",,VAPB;RMDN3
560,Complex,,9606.0,False,amyloid-beta,"complex(a(CHEBI:""amyloid-beta""),p(HGNC:""LDLR""))",,LDLR
561,Complex,,9606.0,False,,"complex(p(HGNC:""IRS4"",pmod(Ph,Y)),p(HGNC:""PIK3R2""))",,IRS4;PIK3R2
562,Complex,,,False,,"complex(p(INTERPRO:""Alpha tubulin"",pmod(Ac)),p(INTERPRO:""Alpha tubulin"",pmod(Ac)))",,Alpha tubulin
563,Complex,,10116.0,False,,"complex(p(RGD:""Erbb3""),p(RGD:""Met""))",,Erbb3;Met
564,Complex,,9606.0,False,,"complex(p(HGNC:""DOK3""),p(HGNC:""GRB2""),p(HGNC:""SOS1""))",,DOK3;GRB2;SOS1
565,Complex,,9606.0,False,,"complex(p(HGNC:""IRS1"",pmod(Ph,Y)),p(HGNC:""PTPN11""))",,IRS1;PTPN11
566,Complex,,9606.0,False,Alarmins,"complex(a(MESH:""Alarmins""),p(HGNC:""P2RX7""))",,P2RX7
567,Complex,,9606.0,False,,"complex(p(HGNC:""KEAP1""),p(HGNC:""MCMBP""))",,KEAP1;MCMBP
568,Complex,,,False,501026,"complex(a(PUBCHEM:""501026""),p(INTERPRO:""HSP90, C-terminal domain""))",,"HSP90, C-terminal domain"
569,Complex,,10090.0,False,,"complex(p(MGI:""Pias4""),p(MGI:""Prkcz""))",,Pias4;Prkcz
570,Complex,,9606.0,False,,"complex(p(HGNC:""MAPK14""),p(HGNC:""SPAG9""))",,SPAG9;MAPK14
571,Complex,,9606.0,False,heparin sulfate binding domain;Liposomes,"complex(a(MESHC:""Liposomes""),a(MESHC:""heparin sulfate binding domain""),p(HGNC:""SDC4""))",,SDC4
572,Complex,,9606.0,False,,"complex(p(HGNC:""PPP2CB""),p(HGNC:""PPP2R1A""))",,PPP2CB;PPP2R1A
573,Complex,,9606.0,False,,"complex(p(HGNC:""CHRNA10""),p(HGNC:""CHRNA9""))",,CHRNA9;CHRNA10
574,Complex,,10090.0,False,,"complex(p(MGI:""Mlst8""),p(MGI:""Mtor""),p(MGI:""Rptor""))",,Rptor;Mlst8;Mtor
575,Complex,,9606.0,False,copper(2+);zinc(2+),"complex(a(CHEBI:""copper(2+)""),a(CHEBI:""zinc(2+)""),p(HGNC:""APP"",frag(""672_711"")))",,APP
576,Complex,,9606.0,False,,"complex(p(HGNC:""APP"",frag(""672_713"")),p(HGNC:""LDLR""))",,APP;LDLR
577,Complex,,9606.0,False,,"complex(p(HGNC:""VIP""),p(HGNC:""VIPR1""))",,VIPR1;VIP
578,Complex,,9606.0,False,,"complex(p(HGNC:""CD33"",pmod(Ph,Y,340)),p(HGNC:""PTPN6""))",,PTPN6;CD33
579,Complex,,9606.0,False,,"complex(p(HGNC:""KLHL13""),p(HGNC:""NUDCD3""))",,NUDCD3;KLHL13
580,Complex,,,False,microtubule,"complex(a(GO:""microtubule""),p(CONSO:""4R tau""))",,4R tau
581,Complex,,10116.0,False,,"complex(p(RGD:""Cul5""),p(RGD:""Elob""),p(RGD:""Eloc""),p(RGD:""Rnf7""))",,Eloc;Cul5;Elob;Rnf7
582,Complex,,9606.0,False,,"complex(p(HGNC:""BIRC2"",loc(MESHA:""Cell Membrane"")),p(HGNC:""BIRC3"",loc(MESHA:""Cell Membrane"")))",,BIRC2;BIRC3
583,Complex,,9606.0,False,,"complex(p(HGNC:""IKBKB""),p(HGNC:""NGFR""))",,IKBKB;NGFR
584,Complex,,9606.0,False,,"complex(p(HGNC:""CHRNA6""),p(HGNC:""CHRNB3""))",,CHRNB3;CHRNA6
585,Complex,,9606.0,False,,"complex(p(HGNC:""BUB1B""),p(HGNC:""BUB3""),composite(p(HGNC:""MAD2L1""),p(HGNC:""MAD2L2"")))",,MAD2L2;BUB1B;BUB3;MAD2L1
