:ID,:LABEL,bel:string,involved_genes:string,involved_other:string,species:float
7627,Composite,"composite(a(CHEBI:""ionomycin""),a(CHEBI:""phorbol 13-acetate 12-myristate""))",,phorbol 13-acetate 12-myristate;ionomycin,
7628,Composite,"composite(p(HGNC:""GRIN1""),p(HGNC:""GRIN2A""),p(HGNC:""GRIN2B""),p(HGNC:""GRIN2C""),p(HGNC:""GRIN2D""))",GRIN2A;GRIN2C;GRIN2B;GRIN1;GRIN2D,,9606.0
7629,Composite,"composite(p(MGI:""Traf1""),p(MGI:""Traf2""))",Traf2;Traf1,,10090.0
7630,Composite,"composite(p(HGNC:""CDS1""),p(HGNC:""CDS2""))",CDS1;CDS2,,9606.0
7631,Composite,"composite(p(HGNC:""TRAF6""),p(HGNC:""UBE2N""))",TRAF6;UBE2N,,9606.0
7632,Composite,"composite(p(MGI:""Dusp3""),p(MGI:""Ptpn5""),p(MGI:""Ptpn7""),p(MGI:""Ptprr""))",Dusp3;Ptprr;Ptpn7;Ptpn5,,10090.0
7633,Composite,"composite(a(CHEMBLA:""CHEMBL659""),p(MGI:""App"",frag(""696_706"")))",App,CHEMBL659,10090.0
7634,Composite,"composite(p(MGI:""Shmt1""),p(MGI:""Shmt2""))",Shmt2;Shmt1,,10090.0
7635,Composite,"composite(p(MGI:""Acsl1""),p(MGI:""Acsl3""),p(MGI:""Acsl4""),p(MGI:""Acsl5""),p(MGI:""Acsl6""))",Acsl1;Acsl5;Acsl6;Acsl3;Acsl4,,10090.0
7636,Composite,"composite(p(HGNC:""CRK""),p(HGNC:""PIK3R2""),p(HGNC:""SIT1""))",SIT1;PIK3R2;CRK,,9606.0
7637,Composite,"composite(p(RGD:""Nt5c""),p(RGD:""Nt5c1a""),p(RGD:""Nt5c1b""),p(RGD:""Nt5c2""),p(RGD:""Nt5c3a""),p(RGD:""Nt5c3b""),p(RGD:""Nt5e""),p(RGD:""Nt5m""))",Nt5c;Nt5c1a;Nt5c1b;Nt5e;Nt5c3a;Nt5c3b;Nt5m;Nt5c2,,10116.0
7638,Composite,"composite(p(FLYBASE:""CCHa1-R""),p(FLYBASE:""CCHa2-R""))",CCHa1-R;CCHa2-R,,7227.0
7639,Composite,"composite(p(HGNC:""APP""),p(HGNC:""NCAM2""))",APP;NCAM2,,9606.0
7640,Composite,"composite(p(HGNC:""CCNA1""),p(HGNC:""CCNA2""))",CCNA2;CCNA1,,9606.0
7641,Composite,"composite(p(MGI:""Id1""),p(MGI:""Id2""),p(MGI:""Id3""),p(MGI:""Id4""))",Id2;Id1;Id4;Id3,,10090.0
7642,Composite,"composite(a(PUBCHEM:""3108148""),p(CONSO:""3R tau""))",3R tau,3108148,
7643,Composite,"composite(p(MGI:""Zfp110""),p(MGI:""Zfp369""))",Zfp369;Zfp110,,10090.0
15288,Composite,"composite(p(HGNC:""EFNB1""),p(HGNC:""EFNB2""),p(HGNC:""EFNB3""))",EFNB2;EFNB1;EFNB3,,9606.0
15289,Composite,"composite(p(HGNC:""G3BP1""),p(HGNC:""HDAC6""))",G3BP1;HDAC6,,9606.0
15290,Composite,"composite(p(RGD:""Rbck1""),p(RGD:""Rnf31""),p(RGD:""Sharpin""))",Sharpin;Rbck1;Rnf31,,10116.0
15291,Composite,"composite(p(FLYBASE:""orb""),p(FLYBASE:""orb2""))",orb2;orb,,7227.0
