:ID,:LABEL,bel:string,involved_genes:string,involved_other:string,species:float
7345,Degradation,"deg(a(CHEBI:""1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate""))",,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",
7346,Degradation,"deg(p(MESH:""beta Catenin""))",beta Catenin,,
7347,Degradation,"deg(p(MESH:""Cytoskeletal Proteins""))",Cytoskeletal Proteins,,
7348,Degradation,"deg(p(HGNC:""MAPT"",pmod(CONSO:""misfolded"")))",MAPT,,9606.0
7349,Degradation,"deg(a(CHEBI:""methylglyoxal""))",,methylglyoxal,
7350,Degradation,"deg(p(MGI:""Mapt"",var(""p.Pro301Leu"")))",Mapt,,10090.0
7351,Degradation,"deg(p(HGNC:""TP53"",var(""?"")))",TP53,,9606.0
7352,Degradation,"deg(g(HGNC:""NAB2""))",NAB2,,9606.0
7353,Degradation,"deg(p(HGNC:""SNCA""))",SNCA,,9606.0
7354,Degradation,"deg(p(HGNCGENEFAMILY:""Tubulins""))",Tubulins,,
7355,Degradation,"deg(p(HGNC:""LRP3""))",LRP3,,9606.0
7356,Degradation,"deg(complex(p(HGNC:""APC""),p(HGNC:""AXIN1""),p(HGNC:""GSK3B""),p(HGNCGENEFAMILY:""Beta catenins"")))",GSK3B;APC;AXIN1;Beta catenins,,
7357,Degradation,"deg(p(HGNC:""MAPT"",pmod(CONSO:""hyperphosphorylation"")))",MAPT,,9606.0
7358,Degradation,"deg(p(HGNC:""SMAD2""))",SMAD2,,9606.0
7359,Degradation,"deg(complex(a(MESH:""Microtubules""),p(HGNC:""MAPT"")))",MAPT,Microtubules,9606.0
7360,Degradation,"deg(p(HGNC:""TARDBP"",pmod(CONSO:""protein aggregation"")))",TARDBP,,9606.0
7361,Degradation,"deg(complex(GO:""cytoplasmic stress granule""))",,cytoplasmic stress granule,
7362,Degradation,"deg(p(HGNC:""SERPINA1"",var(""?"")))",SERPINA1,,9606.0
7363,Degradation,"deg(p(HGNC:""NAB2""))",NAB2,,9606.0
7364,Degradation,"deg(p(HGNC:""MAPT"",pmod(Ph,S,356)))",MAPT,,9606.0
7365,Degradation,"deg(a(CHEBI:""amyloid-beta"",loc(GO:""intracellular"")))",,amyloid-beta,
7366,Degradation,"deg(p(CONSO:""protein aggregates"",pmod(Ub)))",protein aggregates,,
7367,Degradation,"deg(p(HGNC:""MAPT"",loc(MESH:""Dendrites"")))",MAPT,,9606.0
7368,Degradation,"deg(p(HGNC:""APP"",pmod(ubiquitination)))",APP,,9606.0
7369,Degradation,"deg(p(HGNC:""ARC""))",ARC,,9606.0
7370,Degradation,"deg(p(HGNC:""APP"",frag(""672_713"")))",APP,,9606.0
7371,Degradation,"deg(p(HGNC:""GSK3B""))",GSK3B,,9606.0
7372,Degradation,"deg(p(HGNC:""SUMO3""))",SUMO3,,9606.0
7373,Degradation,"deg(complex(CONSO:""alpha-7 beta-2 nAChR""))",,alpha-7 beta-2 nAChR,
