:ID,:LABEL,table_link:string,label:string,db_id:string,indication:string,cas_number:string
12502,Drug,1866X1628,Dyphylline,DB00651,For relief of acute bronchial asthma and for reversible bronchospasm associated with chronic bronchitis and emphysema.,479-18-5
12503,Drug,1867X1622,Imipramine,DB00458,"For the relief of symptoms of depression and as temporary adjunctive therapy in reducing enuresis in children aged 6 years and older [FDA Label].     May also be used off-label to manage panic disorders with or without agoraphobia, as a second line agent for ADHD in children and adolescents, to manage bulimia nervosa, for short-term management of acute depressive episodes in bipolar disorder and schizophrenia, for the treatment of acute stress disorder and posttraumatic stress disorder, and for symptomatic treatment of postherpetic neuralgia and painful diabetic neuropathy [L1349,L1348,A31900,L1351,L1352,L1353,A31904].",50-49-7
12504,Drug,1868X1621,Triprolidine,DB00427,"For the symptomatic relief of seasonal or perennial allergic rhinitis or nonallergic rhinitis; allergic conjunctivitis; and mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Also used in combination with other agents for the symptomatic relief of symptoms associated with the common cold.",486-12-4
12505,Drug,1868X1732,Dequalinium,DB04209,"Effective local treatment as vaginal tablets for infections such as fluor vaginalis, bacterial vaginosis, aerobic vaginitis, vulvo-vaginal candidiasis and trichomoniasis. Used as a topical antimicrobial agent.",6707-58-0
12506,Drug,1869X1615,Reboxetine,DB00234,For the treatment of clinical depression.,71620-89-8
12507,Drug,1870X1650,Methotrimeprazine,,"For the treatment of psychosis, particular those of schizophrenia, and manic phases of bipolar disorder.",60-99-1
12508,Drug,1870X1778,Sertindole,,Used in the treatment of schizophrenia.,106516-24-9
12509,Drug,1871X1622,Methylscopolamine bromide,DB00462,Used as adjunctive therapy for the treatment of peptic ulcer. Also used to treat nausea and vomiting due to motion sickness.,155-41-9
12510,Drug,1872X1616,Chlorotrianisene,DB00269,"Used to treat symptoms of menopause, deficiencies in ovary function (including underdevelopment of female sexual characteristics and some types of infertility), and in rare cases, prostate cancer. Chlorotrianisene may also be used to prevent breast engorgement following childbirth.",569-57-3
12511,Drug,1872X1648,Fosphenytoin,,"For the control of generalized convulsive status epilepticus and prevention and treatment of seizures occurring during neurosurgery. It can also be substituted, short-term, for oral phenytoin.",93390-81-9
12512,Drug,1873X1618,Atenolol,DB00335,For the management of hypertention and long-term management of patients with angina pectoris,29122-68-7
12513,Drug,1873X1651,3-Methylthiofentanyl,,,86052-04-2
12514,Drug,1874X1642,Miconazole,DB01110,"For topical application in the treatment of tinea pedis (athlete&rsquo;s foot), tinea cruris, and tinea corporis caused by <i>Trichophyton rubrum</i>, <i>Trichophyton mentagrophytes</i>, and <i>Epidermophyton floccosum</i>, in the treatment of cutaneous candidiasis (moniliasis), and in the treatment of tinea versicolor.",22916-47-8
12515,Drug,1874X1902,Naldemedine,,For the treatment of opioid-induced constipation [FDA Label].,916072-89-4
12516,Drug,1875X1631,Dolasetron,DB00757,"For the prevention of nausea and vomiting associated with emetogenic cancer chemotherapy, including initial and repeat courses of chemotherapy. Also used for the prevention of postoperative nausea and vomiting. This drug can be used intravenously for the treatment of postoperative nausea and vomiting.",115956-12-2
12517,Drug,1876X1631,Clopidogrel,DB00758,"For the reduction of atherosclerotic events (myocardial infarction, stroke, and vascular death) in patients with atherosclerosis documented by recent stroke, recent myocardial infarction, or established peripheral arterial disease.",113665-84-2
12518,Drug,1876X1779,Icatibant,,"Approved for use in acute attacks of hereditary angioedema (HAE). Investigated for use/treatment in angioedema, liver disease, and burns and burn infections.",130308-48-4
12519,Drug,1877X1617,Talbutal,DB00306,For use as a sedative and hypnotic.,115-44-6
12520,Drug,1878X1616,Bexarotene,DB00307,Used orally for the treatment of skin manifestations of cutaneous T-cell lymphoma (CTCL) in patients who are refractory to at least one prior systemic therapy. Also used topically for the treatment of skin lesions in early (stage IA and IB) CTCL in patients who experience refractory or persistent disease with the use of other therapies or are intolerant of other therapies.,153559-49-0
12521,Drug,1878X1650,Dimethylthiambutene,,Dimethylthiambutene is an opioid analgesic previously used in moderate pain relief.,524-84-5
12522,Drug,1879X1608,Lutropin alfa,DB00044,For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L),152923-57-4
12523,Drug,1880X1641,Trimethaphan,DB01116,For the controlled reduction of blood pressure during surgery and in the treatment of hypertensive emergencies.,7187-66-8
12524,Drug,1881X1612,Amphetamine,DB00182,"For treatment of Attention Deficit Disorder with Hyperactivity (ADDH), narcolepsy, and exogenous obesity as a short term (a few weeks) adjunct in a regimen of weight reduction based on caloric restriction for patients refractory to alternative therapy.",300-62-9
12525,Drug,2250X1612,Pentagastrin,DB00183,Used as a diagnostic aid for evaluation of gastric acid secretory function,5534-95-2
12526,Drug,2250X1644,Metipranolol,DB01214,Indicated in the treatment of elevated intraocular pressure in patients with ocular hypertension or open angle glaucoma.,22664-55-7
12527,Drug,2251X1607,Reteplase,DB00015,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction",133652-38-7
12528,Drug,2251X1641,Diazoxide,DB01119,Used parentally to treat hypertensive emergencies. Also used to treat hypoglycemia secondary to insulinoma.,364-98-7
12529,Drug,2251X1945,Clobetasone,,"In dermatology, topical clobestasone butyrate helps to reduce the itchiness and erythema associated with eczema and dermatitis.  In ophthalmology, clobetasone butyrate 0.1% eye drops have been shown to be safe and effective in the treatment of dry eyes in Sjögren's Syndrome.",54063-32-0
12530,Drug,2252X1640,Iloprost,DB01088,Used for the treatment of pulmonary arterial hypertension.,78919-13-8
12531,Drug,2253X1643,Fluoxymesterone,DB01185,"In males, used as replacement therapy in conditions associated with symptoms of deficiency or absence of endogenous testosterone. In females, for palliation of androgenresponsive recurrent mammary cancer in women who are more than one year but less than five years postmenopausal.",76-43-7
12532,Drug,2253X1952,"2,5-Dimethoxy-4-ethylthioamphetamine",,,185562-00-9
12533,Drug,2254X1641,Ambenonium,DB01122,Ambenonium is used to treat muscle weakness due to muscle disease (myasthenia gravis).,7648-98-8
12534,Drug,2255X1764,GW-501516,DB05416,Investigated for use/treatment in hyperlipidemia.,317318-70-0
12535,Drug,2256X1612,Ethchlorvynol,DB00189,"Used for short-term hypnotic therapy in the management of insomnia for periods of up to one week in duration; however, this medication generally has been replaced by other sedative-hypnotic agents.",113-18-8
12536,Drug,2256X1645,Mitiglinide,,For the treatment of type 2 diabetes.,145375-43-5
12537,Drug,2256X1683,Colforsin,DB02587,,66575-29-9
12538,Drug,2257X1900,Equol,,,531-95-3
12539,Drug,2259X1786,Esmirtazapine,,Investigated for use/treatment in insomnia and sleep disorders.,61337-87-9
12540,Drug,2260X1627,Losartan,DB00678,"May be used as a first line agent to treat uncomplicated hypertension, isolated systolic hypertension and left ventricular hypertrophy. May be used as a first line agent to delay progression of diabetic nephropathy. Losartan may be also used as a second line agent in the treatment of congestive heart failure, systolic dysfunction, myocardial infarction and coronary artery disease in those intolerant of ACE inhibitors.",114798-26-4
12541,Drug,2260X1861,Cirazoline,,,59939-16-1
12542,Drug,2261X1622,Albendazole,DB00518,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, <i>Taenia solium</i> and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, <i>Echinococcus granulosus</i>.",54965-21-8
12543,Drug,2262X1765,Naronapride,,Investigated for use/treatment in gastroesophageal reflux disease (GERD) and gastroparesis.,860174-12-5
12544,Drug,2263X1608,Adenosine monophosphate,DB00131,"For nutritional supplementation, also for treating dietary shortage or imbalance",61-19-8
12545,Drug,2263X1641,Flecainide,DB01195,"Flecainide is is a class Ic antiarrhythmic agent and as such, it is used for the prevention of paroxysmal supraventricular tachycardias (PSVT), including atrioventricular nodal reentrant tachycardia, atrioventricular reentrant tachycardia and other supraventricular tachycardias of unspecified mechanism associated with disablin.",54143-55-4
12546,Drug,2263X1758,Methsuximide,,For the control of absence (petit mal) seizures that are refractory to other drugs.,77-41-8
12547,Drug,2264X1608,Alpha-Linolenic Acid,DB00132,For nutritional supplementation and for treating dietary shortage or imbalance.,463-40-1
12548,Drug,2264X1642,Encainide,DB01228,"Encainide is a class Ic antiarrhythmic agent which was used for management of irregular heartbeats, such as atrial fibrillation, atrial flutter, ventricular tachycardia, and ventricular fibrillation.",66778-36-7
12549,Drug,2264X1942,Levosalbutamol,DB13139,"Levosalbutamol's bronchodilator properties give it indications in treatment of COPD (chronic obstructive pulmonary disease, also known as chronic obstructive lung disease) and asthma.",34391-04-3
12550,Drug,2265X1638,Capecitabine,DB01101,"For the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen. May also be used in combination with docetaxel for the treatment of metastatic breast cancer in patients who have failed to respond to, or recurred or relasped during or following anthracycline-containing chemotherapy. Capecitabine is used alone as an adjuvant therapy following the complete resection of primary tumor in patients with stage III colon cancer when monotherapy with fluroprymidine is preferred. The use or capecitabine in combination regimens for advanced gastric cancer is currently being investigated.",154361-50-9
12551,Drug,1867X1623,Buspirone,DB00490,"For the management of anxiety disorders or the short-term relief of the symptoms of anxiety, and also as an augmention of SSRI-treatment against depression.",36505-84-7
12552,Drug,1867X1783,Oxymetholone,,"Indicated in the treatment of anemias caused by deficient red cell production. Acquired aplastic anemia, congenital aplastic anemia, myelofibrosis and the hypoplastic anemias due to the administration of myelotoxic drugs often respond. Oxymetholone should not replace other supportive measures such as transfusion, correction of iron, folic acid, vitamin B12 or pyridoxine deficiency, antibacterial therapy and the appropriate use of corticosteroids.",434-07-1
12553,Drug,1868X1622,Acitretin,DB00459,For the treatment of severe psoriasis in adults.,55079-83-9
12554,Drug,1869X1616,Dicoumarol,DB00266,For decreasing blood clotting. Often used along with heparin for treatment of deep vein thrombosis.,66-76-2
12555,Drug,1870X1651,Alfacalcidol,,"Alfacalcidol is an active metabolite of Vitamin D, which performs important functions in regulation of the calcium balance and the bone metabolism.",41294-56-8
12556,Drug,1870X1779,Solabegron,,"Investigated for use/treatment in diabetes mellitus type 2, irritable bowel syndrome (IBS), and urinary incontinence.",252920-94-8
12557,Drug,1871X1623,Entacapone,DB00494,"Used as an adjunct to levodopa / carbidopa in the symptomatic treatment of patients with idiopathic Parkinson's Disease who experience the signs and symptoms of end-of-dose ""wearing-off"".",130929-57-6
17472,Drug,1872X1649,Lithium,,"Lithium is used as a mood stabilizer, and is used for treatment of depression and mania. It is often used in bipolar disorder treatment.",7439-93-2
17473,Drug,1873X1619,Levonorgestrel,DB00367,For the treatment of menopausal and postmenopausal disorders and alone or in combination with other hormones as an oral contraceptive.,797-63-7
17474,Drug,1874X1643,Doxepin,DB01142,"**Oral: **  - Indicated for the treatment of depression and/or anxiety [FDA Label].   - Indicated for the treatment of depression and/or anxiety associated with different conditions, including alcoholism, organic disease and manic-depressive disorders [FDA Label].  - Indicated for the treatment of insomnia characterized by difficulties with sleep maintenance [L1347].    Topical:   - Indicated for the short-term (up to 8 days) management of moderate pruritus in adult patients with atopic dermatitis or lichen simplex chronicus [L1344].",1668-19-5
17475,Drug,1875X1632,Gadopentetate dimeglumine,DB00789,"For use with magnetic resonance imaging (MRI) in adults, and pediatric patients (2 years of age and older) to visualize lesions with abnormal vascularity in the brain (intracranial lesions), spine and associated tissues as well as lesions with abnormal vascularity in the head and neck. Also used to facilitate the visualization of lesions with abnormal vascularity in the body (excluding the heart).",86050-77-3
17476,Drug,1875X1901,Latanoprostene Bunod,,Latanoprostene bunod opthalmic solution is indicated for the reduction of intraocular pressure in patients with open-angle glaucoma or ocular hypertension [FDA Label].,860005-21-6
17477,Drug,1876X1632,Perindopril,DB00790,"For the treatment of mild to moderate essential hypertension, mild to moderate congestive heart failure, and to reduce the cardiovascular risk of individuals with hypertension or post-myocardial infarction and stable coronary disease.",82834-16-0
17478,Drug,1876X1780,Avanafil,,Treatment of erectile dysfunction in males.,330784-47-9
17479,Drug,1877X1619,Meprobamate,DB00371,For the management of anxiety disorders or for the short-term relief of the symptoms of anxiety.,57-53-4
17480,Drug,1878X1617,Metixene,DB00340,Used for the symptomatic treatment of parkinsonism.,4969-02-2
17481,Drug,1878X1653,Diprenorphine,,Diprenorphine is used to reverse the effects of the super-potent opioid analgesics such as etorphine and carfentanil that are used for tranquilizing large animals in veterinary medicine. Not used in humans.,14357-78-9
17482,Drug,1879X1643,Podofilox,DB01179,For treatment of external genital warts (<i>Condyloma acuminatum</i>).,518-28-5
17483,Drug,1880X1642,Flavoxate,DB01148,"For symptomatic relief of dysuria, urgency, nocturia, suprapubic pain, frequency and incontinence as may occur in cystitis, prostatitis, urethritis, urethrocystitis/urethrotrigonitis.",15301-69-6
17484,Drug,1880X1750,Omacetaxine mepesuccinate,,Used in patients who are intolerant and/or resistant to two or more tyrosine kinase inhibitors used to treat accelerated or chronic phase CML.,26833-87-4
17485,Drug,2250X1613,Citalopram,DB00215,"For the treatment of depression. Off-label indications include: treatment of mild dementia-associated agitation in nonpsychotic patients, smoking cessation, ethanol abuse, obsessive-compulsive disorder (OCD) in children, and diabetic neuropathy [FDA label].",59729-33-8
17486,Drug,2250X1645,Alimemazine,DB01246,Used to prevent and relieve allergic conditions which cause pruritus (itching) and urticaria (some allergic skin reactions).,84-96-8
17487,Drug,2251X1642,Desipramine,DB01151,"For relief of symptoms in various depressive syndromes, especially endogenous depression. It has also been used to manage chronic peripheral neuropathic pain, as a second line agent for the management of anxiety disorders (e.g. panic disorder, generalized anxiety disorder), and as a second or third line agent in the ADHD management.",50-47-5
17488,Drug,2251X1949,Xamoterol,,,81801-12-9
