:ID,:LABEL,namespace:string,pure:boolean,involved_other:string,bel:string,name:string
3276,MicroRna,HGNC,False,MIR34A,"m(HGNC:""MIR34A"")",MIR34A
3277,MicroRna,MIRBASE,False,hsa-mir-125b-2,"m(MIRBASE:""hsa-mir-125b-2"")",hsa-mir-125b-2
3278,MicroRna,MIRBASE,,hsa-mir-146a,"m(MIRBASE:""hsa-mir-146a"",loc(MESH:""T-Lymphocytes, Regulatory""))",hsa-mir-146a
3279,MicroRna,MIRBASE,False,hsa-mir-186,"m(MIRBASE:""hsa-mir-186"")",hsa-mir-186
3280,MicroRna,MIRBASE,False,hsa-mir-373,"m(MIRBASE:""hsa-mir-373"")",hsa-mir-373
3281,MicroRna,MIRBASE,False,hsa-mir-383,"m(MIRBASE:""hsa-mir-383"")",hsa-mir-383
3282,MicroRna,MIRBASE,False,rno-mir-195,"m(MIRBASE:""rno-mir-195"")",rno-mir-195
3283,MicroRna,HGNC,False,MIR181C,"m(HGNC:""MIR181C"")",MIR181C
3284,MicroRna,MIRBASE,False,hsa-mir-20b,"m(MIRBASE:""hsa-mir-20b"")",hsa-mir-20b
3285,MicroRna,HGNC,False,MIR124-1,"m(HGNC:""MIR124-1"")",MIR124-1
3286,MicroRna,MIRBASE,False,hsa-mir-148a,"m(MIRBASE:""hsa-mir-148a"")",hsa-mir-148a
3287,MicroRna,MIRBASE,False,hsa-mir-30e,"m(MIRBASE:""hsa-mir-30e"")",hsa-mir-30e
3288,MicroRna,MIRBASE,False,hsa-mir-543,"m(MIRBASE:""hsa-mir-543"")",hsa-mir-543
3289,MicroRna,MIRBASE,False,ebv-mir-BART15,"m(MIRBASE:""ebv-mir-BART15"")",ebv-mir-BART15
3290,MicroRna,HGNC,False,MIR132,"m(HGNC:""MIR132"")",MIR132
3291,MicroRna,HGNC,False,MIR298,"m(HGNC:""MIR298"")",MIR298
3292,MicroRna,HGNC,False,MIR155,"m(HGNC:""MIR155"")",MIR155
3293,MicroRna,HGNC,False,MIR29B1,"m(HGNC:""MIR29B1"")",MIR29B1
3294,MicroRna,MIRBASE,False,hsa-mir-128-1,"m(MIRBASE:""hsa-mir-128-1"")",hsa-mir-128-1
3295,MicroRna,MIRBASE,False,hsa-mir-17,"m(MIRBASE:""hsa-mir-17"")",hsa-mir-17
3296,MicroRna,MIRBASE,False,hsa-mir-302b,"m(MIRBASE:""hsa-mir-302b"")",hsa-mir-302b
3297,MicroRna,HGNC,False,MIR659,"m(HGNC:""MIR659"")",MIR659
3298,MicroRna,HGNC,False,MIR1306,"m(HGNC:""MIR1306"")",MIR1306
3299,MicroRna,MIRBASE,,hsa-mir-20a,"m(MIRBASE:""hsa-mir-20a"",loc(MESH:""Monocytes""))",hsa-mir-20a
3300,MicroRna,HGNC,False,MIR29A,"m(HGNC:""MIR29A"")",MIR29A
3301,MicroRna,MIRBASE,False,hsa-mir-128-2,"m(MIRBASE:""hsa-mir-128-2"")",hsa-mir-128-2
