:ID,:LABEL,namespace:string,bel:string,name:string,involved_other:string
1092,Pathology,MESH,"path(MESH:""Endocytosis"")",Endocytosis,Endocytosis
1093,Pathology,MESH,"path(MESH:""Cardiovascular Diseases"")",Cardiovascular Diseases,Cardiovascular Diseases
1094,Pathology,HP,"path(HP:""Abdominal pain"")",Abdominal pain,Abdominal pain
1095,Pathology,HP,"path(HP:""Neurological speech impairment"")",Neurological speech impairment,Neurological speech impairment
1096,Pathology,EFO,"path(EFO:""behavioural disinhibition measurement"")",behavioural disinhibition measurement,behavioural disinhibition measurement
1097,Pathology,MESH,"path(MESH:""Neuroaxonal Dystrophies"")",Neuroaxonal Dystrophies,Neuroaxonal Dystrophies
1098,Pathology,MESH,"path(MESH:""Intellectual Disability"")",Intellectual Disability,Intellectual Disability
1099,Pathology,MESHD,"path(MESHD:""Gliosis"")",Gliosis,Gliosis
1100,Pathology,MESH,"path(MESH:""Survival"")",Survival,Survival
1101,Pathology,MESH,"path(MESH:""AIDS-Associated Nephropathy"")",AIDS-Associated Nephropathy,AIDS-Associated Nephropathy
1102,Pathology,MESH,"path(MESH:""Wound Healing"")",Wound Healing,Wound Healing
1103,Pathology,GO,"path(GO:""cognition"")",cognition,cognition
1104,Pathology,HP,"path(HP:""Nausea and vomiting"")",Nausea and vomiting,Nausea and vomiting
1105,Pathology,HP,"path(HP:""Autoimmunity"")",Autoimmunity,Autoimmunity
1106,Pathology,NCIT,"path(NCIT:""C19375"")",C19375,C19375
1107,Pathology,MESH,"path(MESH:""Mitochondrial Dynamics"")",Mitochondrial Dynamics,Mitochondrial Dynamics
1108,Pathology,MESH,"path(MESH:""Neoplasms"")",Neoplasms,Neoplasms
1109,Pathology,MESH,"path(MESH:""Cell Survival"")",Cell Survival,Cell Survival
1110,Pathology,MESH,"path(MESH:""Myopia"")",Myopia,Myopia
1111,Pathology,HP,"path(HP:""Brain atrophy"")",Brain atrophy,Brain atrophy
1112,Pathology,MESHD,"path(MESHD:""Inflammation"")",Inflammation,Inflammation
1113,Pathology,MESH,"path(MESH:""Cerebral Small Vessel Diseases"")",Cerebral Small Vessel Diseases,Cerebral Small Vessel Diseases
1114,Pathology,HP,"path(HP:""Anhedonia"")",Anhedonia,Anhedonia
1115,Pathology,MESH,"path(MESH:""Tobacco Use"")",Tobacco Use,Tobacco Use
1116,Pathology,MESH,"path(MESH:""Neural Conduction"")",Neural Conduction,Neural Conduction
1117,Pathology,MESH,"path(MESH:""Arrhythmias, Cardiac"")","Arrhythmias, Cardiac","Arrhythmias, Cardiac"
1118,Pathology,EFO,"path(EFO:""Anti-cytomegalovirus IgG measurement"")",Anti-cytomegalovirus IgG measurement,Anti-cytomegalovirus IgG measurement
1119,Pathology,DOID,"path(DOID:""primary progressive multiple sclerosis"")",primary progressive multiple sclerosis,primary progressive multiple sclerosis
1120,Pathology,HP,"path(HP:""Abnormality of movement"")",Abnormality of movement,Abnormality of movement
1121,Pathology,NCIT,"path(NCIT:""C27988"")",C27988,C27988
1122,Pathology,DOID,"path(DOID:""neuroblastoma"")",neuroblastoma,neuroblastoma
1123,Pathology,EFO,"path(EFO:""microtubule-associated protein tau"")",microtubule-associated protein tau,microtubule-associated protein tau
1124,Pathology,CONSO,"path(CONSO:""4R tauopathy"")",4R tauopathy,4R tauopathy
1125,Pathology,MESH,"path(MESH:""Bipolar Disorder"")",Bipolar Disorder,Bipolar Disorder
1126,Pathology,HP,"path(HP:""Rheumatoid arthritis"")",Rheumatoid arthritis,Rheumatoid arthritis
1127,Pathology,MESHD,"path(MESHD:""Breast Neoplasms"")",Breast Neoplasms,Breast Neoplasms
1128,Pathology,DOID,"path(DOID:""lysosomal storage disease"")",lysosomal storage disease,lysosomal storage disease
1129,Pathology,MESH,"path(MESH:""Sweating"")",Sweating,Sweating
1130,Pathology,MESH,"path(MESH:""Neuronal Outgrowth"")",Neuronal Outgrowth,Neuronal Outgrowth
1131,Pathology,HP,"path(HP:""Chest tightness"")",Chest tightness,Chest tightness
1132,Pathology,MESH,"path(MESH:""Visual Perception"")",Visual Perception,Visual Perception
1133,Pathology,MESH,"path(MESH:""Wounds and Injuries"")",Wounds and Injuries,Wounds and Injuries
1134,Pathology,DOID,"path(DOID:""mental depression"")",mental depression,mental depression
1135,Pathology,HP,"path(HP:""Behavioral abnormality"")",Behavioral abnormality,Behavioral abnormality
1136,Pathology,MESH,"path(MESH:""Problem Solving"")",Problem Solving,Problem Solving
1137,Pathology,HP,"path(HP:""Postural instability"")",Postural instability,Postural instability
1138,Pathology,MESH,"path(MESH:""Neurodegenerative Diseases"")",Neurodegenerative Diseases,Neurodegenerative Diseases
1139,Pathology,MESH,"path(MESH:""Motor Skills Disorders"")",Motor Skills Disorders,Motor Skills Disorders
1140,Pathology,MESHD,"path(MESHD:""Ischemia"")",Ischemia,Ischemia
1141,Pathology,MESHD,"path(MESHD:""Hyperinsulinism"")",Hyperinsulinism,Hyperinsulinism
1142,Pathology,CONSO,"path(CONSO:""Pathological Tau Spreading"")",Pathological Tau Spreading,Pathological Tau Spreading
1143,Pathology,MESHD,"path(MESHD:""spinocerebellar ataxia"")",spinocerebellar ataxia,spinocerebellar ataxia
1144,Pathology,NCIT,"path(NCIT:""Alzheimer's Disease"")",Alzheimer's Disease,Alzheimer's Disease
