:ID,:LABEL,bel:string,involved_genes:string,involved_other:string,species:float
4238,Reaction,"rxn(reactants(a(CHEBI:""thiamine(1+) diphosphate"")),products(a(CHEBI:""thiamine(1+) monophosphate"")))",,thiamine(1+) diphosphate;thiamine(1+) monophosphate,
4239,Reaction,"rxn(reactants(composite(a(CHEBI:""5-fluorouracil""),a(CHEBI:""5-fluorouracil""))),products(a(CHEBI:""5-fluorouridine 5'-monophosphate"")))",,5-fluorouracil;5-fluorouridine 5'-monophosphate,
4240,Reaction,"rxn(reactants(a(CHEBI:""(2-trans,6-trans)-farnesal"")),products(a(CHEBI:""(2E,6E)-farnesoic acid"")))",,"(2E,6E)-farnesoic acid;(2-trans,6-trans)-farnesal",
4241,Reaction,"rxn(reactants(a(CHEBI:""N-[(R)-4-phosphopantothenoyl]-L-cysteine"")),products(a(CHEBI:""(R)-4'-phosphopantothenic acid"")))",,N-[(R)-4-phosphopantothenoyl]-L-cysteine;(R)-4'-phosphopantothenic acid,
4242,Reaction,"rxn(reactants(a(CHEBI:""alpha-D-galactose 1-phosphate"")),products(a(CHEBI:""alpha-D-glucose 1-phosphate"")))",,alpha-D-glucose 1-phosphate;alpha-D-galactose 1-phosphate,
4243,Reaction,"rxn(reactants(a(CHEBI:""estrone"")),products(a(CHEBI:""estrone 3-O-(beta-D-glucuronide)"")))",,estrone;estrone 3-O-(beta-D-glucuronide),
4244,Reaction,"rxn(reactants(a(CHEBI:""serotonin"")),products(a(CHEBI:""(5-hydroxyindol-3-yl)acetaldehyde"")))",,serotonin;(5-hydroxyindol-3-yl)acetaldehyde,
4245,Reaction,"rxn(reactants(a(CHEBI:""11-deoxycorticosterone"")),products(a(CHEBI:""progesterone"")))",,progesterone;11-deoxycorticosterone,
4246,Reaction,"rxn(reactants(a(CHEBI:""preuroporphyrinogen"")),products(a(CHEBI:""uroporphyrinogen III"")))",,uroporphyrinogen III;preuroporphyrinogen,
4247,Reaction,"rxn(reactants(a(CHEBI:""L-gamma-glutamyl-L-cysteine"")),products(a(CHEBI:""glutathione"")))",,L-gamma-glutamyl-L-cysteine;glutathione,
4248,Reaction,"rxn(reactants(a(KEGG:""gl:G00051"")),products(a(KEGG:""gl:G00052"")))",,gl:G00051;gl:G00052,
4249,Reaction,"rxn(reactants(a(CHEBI:""S-methyl-5-thio-D-ribulose 1-phosphate"")),products(a(CHEBI:""S-methyl-5-thio-alpha-D-ribose 1-phosphate"")))",,S-methyl-5-thio-D-ribulose 1-phosphate;S-methyl-5-thio-alpha-D-ribose 1-phosphate,
4250,Reaction,"rxn(reactants(a(CHEBI:""CDP"")),products(a(CHEBI:""cytidine 5'-monophosphate"")))",,cytidine 5'-monophosphate;CDP,
4251,Reaction,"rxn(reactants(a(CHEBI:""guanine"")),products(a(CHEBI:""guanosine 5'-monophosphate"")))",,guanosine 5'-monophosphate;guanine,
4252,Reaction,"rxn(reactants(a(CHEBI:""(S)-3-hydroxyacyl-CoA"")),products(composite(a(CHEBI:""2-enoyl-CoA""),a(CHEBI:""trans-2-enoyl-CoA""))))",,(S)-3-hydroxyacyl-CoA;2-enoyl-CoA;trans-2-enoyl-CoA,
4253,Reaction,"rxn(reactants(a(CHEBI:""guanosine 5'-monophosphate"")),products(a(CHEBI:""3',5'-cyclic GMP"")))",,"guanosine 5'-monophosphate;3',5'-cyclic GMP",
4254,Reaction,"rxn(reactants(a(CHEBI:""but-2-enoyl-CoA"")),products(a(CHEBI:""(S)-3-hydroxybutanoyl-CoA"")))",,but-2-enoyl-CoA;(S)-3-hydroxybutanoyl-CoA,
4255,Reaction,"rxn(reactants(a(CHEBI:""L-tyrosine"")),products(a(CHEBI:""L-dopa"")))",,L-dopa;L-tyrosine,
4256,Reaction,"rxn(reactants(a(CHEBI:""dihydroxyacetone phosphate"")),products(a(CHEBI:""dihydroxyacetone"")))",,dihydroxyacetone;dihydroxyacetone phosphate,
4257,Reaction,"rxn(reactants(a(CHEBI:""2,3-epoxymenaquinone"")),products(a(CHEBI:""menaquinol"")))",,"menaquinol;2,3-epoxymenaquinone",
4258,Reaction,"rxn(reactants(a(KEGG:""gl:G00149"")),products(a(KEGG:""gl:G13044"")))",,gl:G00149;gl:G13044,
4259,Reaction,"rxn(reactants(a(CHEBI:""D-proline"")),products(a(CHEBI:""1-pyrroline-2-carboxylic acid"")))",,1-pyrroline-2-carboxylic acid;D-proline,
4260,Reaction,"rxn(reactants(a(CHEBI:""L-kynurenine"")),products(a(CHEBI:""anthranilic acid"")))",,anthranilic acid;L-kynurenine,
4261,Reaction,"rxn(reactants(a(CHEBI:""cis-3-Chloroallyl aldehyde"")),products(a(PUBCHEM:""8841"")))",,8841;cis-3-Chloroallyl aldehyde,
4262,Reaction,"rxn(reactants(a(CHEBI:""UDP-alpha-D-glucose"")),products(a(CHEBI:""UDP-alpha-D-galactose"")))",,UDP-alpha-D-galactose;UDP-alpha-D-glucose,
4263,Reaction,"rxn(reactants(a(CHEBI:""17alpha-hydroxyprogesterone"")),products(a(CHEBI:""androst-4-ene-3,17-dione"")))",,"androst-4-ene-3,17-dione;17alpha-hydroxyprogesterone",
4264,Reaction,"rxn(reactants(a(CHEBI:""all-trans-retinoate"")),products(a(CHEBI:""5,6-epoxyretinoic acid"")))",,"all-trans-retinoate;5,6-epoxyretinoic acid",
4265,Reaction,"rxn(reactants(a(CHEBI:""S-methyl-5-thio-alpha-D-ribose 1-phosphate"")),products(a(CHEBI:""5'-S-methyl-5'-thioadenosine"")))",,S-methyl-5-thio-alpha-D-ribose 1-phosphate;5'-S-methyl-5'-thioadenosine,
