:ID,:LABEL,namespace:string,species:float,label:string,pure:boolean,bel:string,name:string,involved_genes:string,suggested_corrections:string,hgnc:string
2730,Rna,HGNC,9606.0,triggering receptor expressed on myeloid cells 2,False,"r(HGNC:""TREM2"")",TREM2,TREM2,,1573X7915
2731,Rna,HGNC,9606.0,zinc finger protein 568,False,"r(HGNC:""ZNF568"")",ZNF568,ZNF568,,1566X8121
2732,Rna,HGNC,9606.0,muscle RAS oncogene homolog,False,"r(HGNC:""MRAS"")",MRAS,MRAS,,1561X6714
2733,Rna,MGI,10090.0,,False,"r(MGI:""Epo"")",Epo,Epo,,
2734,Rna,RGD,10116.0,,False,"r(RGD:""Il18r1"")",Il18r1,Il18r1,,
2735,Rna,HGNC,9606.0,purinergic receptor P2Y13,False,"r(HGNC:""P2RY13"")",P2RY13,P2RY13,,1574X6947
2736,Rna,FLYBASE,7227.0,,False,"r(FLYBASE:""Duox"")",Duox,Duox,,
2737,Rna,RGD,10116.0,,False,"r(RGD:""Sele"")",Sele,Sele,,
2738,Rna,RGD,10116.0,,False,"r(RGD:""Atp2b3"")",Atp2b3,Atp2b3,,
2739,Rna,RGD,10116.0,,False,"r(RGD:""Pdx1"")",Pdx1,Pdx1,,
2740,Rna,HGNC,9606.0,zinc finger protein 443,False,"r(HGNC:""ZNF443"")",ZNF443,ZNF443,,1568X8114
2741,Rna,HGNC,9606.0,ras homolog family member A,False,"r(HGNC:""RHOA"")",RHOA,RHOA,,1572X7176
2742,Rna,HGNC,9606.0,natriuretic peptide B,False,"r(HGNC:""NPPB"")",NPPB,NPPB,,1567X6853
2743,Rna,HGNC,9606.0,zinc finger protein 777,False,"r(HGNC:""ZNF777"")",ZNF777,ZNF777,,1575X8132
2744,Rna,RGD,10116.0,,False,"r(RGD:""Cdkn1b"")",Cdkn1b,Cdkn1b,,
2745,Rna,HGNC,9606.0,CD33 molecule,,"r(HGNC:""CD33"",loc(MESHA:""Microglia""))",CD33,CD33,,1568X5656
2746,Rna,RGD,10116.0,,False,"r(RGD:""Vegfb"")",Vegfb,Vegfb,,
2747,Rna,HGNC,9606.0,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2",False,"r(HGNC:""LAMTOR2"")",LAMTOR2,LAMTOR2,,1571X6326
2748,Rna,RGD,10116.0,,False,"r(RGD:""Zfp248"")",Zfp248,Zfp248,,
2749,Rna,RGD,10116.0,,False,"r(RGD:""Zmat3"")",Zmat3,Zmat3,,
2750,Rna,HGNC,9606.0,complement factor H,False,"r(HGNC:""CFH"")",CFH,CFH,,1561X5693
2751,Rna,RGD,10116.0,,False,"r(RGD:""Fbxo25"")",Fbxo25,Fbxo25,,
2752,Rna,HGNC,9606.0,TEK receptor tyrosine kinase,False,"r(HGNC:""TEK"")",TEK,TEK,,1564X7818
2753,Rna,MGI,10090.0,,False,"r(MGI:""Rora"")",Rora,Rora,,
2754,Rna,HGNC,9606.0,ATPase Na+/K+ transporting subunit alpha 3,False,"r(HGNC:""ATP1A3"")",ATP1A3,ATP1A3,,1563X5530
2755,Rna,HGNC,9606.0,zinc finger matrin-type 3,False,"r(HGNC:""ZMAT3"")",ZMAT3,ZMAT3,,1567X8094
2756,Rna,MGI,10090.0,,False,"r(MGI:""2610008E11Rik"")",2610008E11Rik,2610008E11Rik,,
2757,Rna,HGNC,9606.0,stabilin 1,False,"r(HGNC:""STAB1"")",STAB1,STAB1,,1572X7763
2758,Rna,MGI,10090.0,,False,"r(MGI:""Ptger4"")",Ptger4,Ptger4,,
2759,Rna,MGI,10090.0,,,"r(MGI:""Pik3r4"",loc(MESHA:""Microglia""))",Pik3r4,Pik3r4,,
2760,Rna,HGNC,9606.0,ZFP69 zinc finger protein,False,"r(HGNC:""ZFP69"")",ZFP69,ZFP69,,1565X8090
