:ID,:LABEL,bel:string,involved_genes:string,involved_other:string,species:float
12202,Translocation,"tloc(p(HGNC:""TREM2""),fromLoc(MESHA:""Cell Membrane""),toLoc(MESHA:""Cytoplasmic Vesicles""))",TREM2,,9606.0
12203,Translocation,"tloc(a(CONSO:""Tau aggregates""),fromLoc(GO:""extracellular space""),toLoc(GO:""intracellular part""))",,Tau aggregates,
12204,Translocation,"tloc(a(GO:""cytoplasm""),fromLoc(GO:""intracellular""),toLoc(GO:""multivesicular body""))",,cytoplasm,
12205,Translocation,"tloc(p(HGNC:""HTT"",frag(""?"")),fromLoc(GO:""cytoplasm""),toLoc(GO:""nucleus""))",HTT,,9606.0
12206,Translocation,"tloc(p(INTERPRO:""Amyloidogenic glycoprotein, intracellular domain, conserved site""),fromLoc(MESHCS:""Cytoplasm""),toLoc(MESHCS:""Cell Nucleus""))","Amyloidogenic glycoprotein, intracellular domain, conserved site",,
12207,Translocation,"tloc(a(CHEBI:""calcium(2+)""),fromLoc(MESHCS:""Cell Membrane""),toLoc(MESHCS:""Intracellular Space""))",,calcium(2+),
12208,Translocation,"tloc(a(CHEBI:""amyloid-beta""),fromLoc(MESH:""Extracellular Space""),toLoc(MESH:""Brain""))",,amyloid-beta,
12209,Translocation,"tloc(p(MGI:""Lrrk2"",var(""?"")),fromLoc(MESH:""Extracellular Space""),toLoc(GO:""lysosome""))",Lrrk2,,10090.0
12210,Translocation,"tloc(p(HGNC:""BAX""),fromLoc(GO:""cytosol""),toLoc(GO:""mitochondrion""))",BAX,,9606.0
12211,Translocation,"tloc(a(CHEBI:""macromolecule""),fromLoc(HP:""interstitial fluid""),toLoc(MESH:""Lymph Nodes""))",,macromolecule,
12212,Translocation,"tloc(a(CHEBI:""saccharin""),fromLoc(GO:""extracellular space""),toLoc(GO:""intracellular""))",,saccharin,
12213,Translocation,"tloc(a(CHEBI:""calcium(2+)""),fromLoc(MESHCS:""Extracellular Space""),toLoc(MESHCS:""Cytoplasm""))",,calcium(2+),
12214,Translocation,"tloc(p(CONSO:""Tau aggregates""),fromLoc(MESH:""Extracellular Space""),toLoc(MESH:""Intracellular Space""))",Tau aggregates,,
12215,Translocation,"tloc(p(HGNC:""MAPT"",var(""p.Pro301Ser"")),fromLoc(GO:""extracellular region""),toLoc(GO:""cell body""))",MAPT,,9606.0
12216,Translocation,"tloc(a(CHEBI:""proton""),fromLoc(MESH:""Synaptic Vesicles""),toLoc(GO:""cytosol""))",,proton,
12217,Translocation,"tloc(p(HGNC:""RELA""),fromLoc(MESH:""Cytosol""),toLoc(MESH:""Cell Nucleus""))",RELA,,9606.0
12218,Translocation,"tloc(p(HGNC:""MAPK1""),fromLoc(GO:""cytoplasm""),toLoc(GO:""nucleus""))",MAPK1,,9606.0
12219,Translocation,"tloc(p(HGNC:""SNCA""),fromLoc(GO:""extracellular region""),toLoc(GO:""intracellular""))",SNCA,,9606.0
12220,Translocation,"tloc(a(MESH:""Cations, Monovalent""),fromLoc(MESH:""Intracellular Space""),toLoc(MESH:""Extracellular Space""))",,"Cations, Monovalent",
12221,Translocation,"tloc(p(MESH:""Proteins"",pmod(Ub)),fromLoc(GO:""cytoplasm""),toLoc(GO:""lysosome""))",Proteins,,
12222,Translocation,"tloc(a(CHEBI:""amyloid-beta polypeptide 42""),fromLoc(GO:""intracellular""),toLoc(MESH:""Plasma""))",,amyloid-beta polypeptide 42,
12223,Translocation,"tloc(p(HGNC:""APP""),fromLoc(GO:""cell surface""),toLoc(GO:""intracellular""))",APP,,9606.0
12224,Translocation,"tloc(a(GO:""autophagosome""),fromLoc(GO:""extracellular space""),toLoc(MESH:""Neurons""))",,autophagosome,
12225,Translocation,"tloc(p(HGNCGENEFAMILY:""Beta catenins""),fromLoc(GO:""cytoplasm""),toLoc(GO:""nucleus""))",Beta catenins,,
12226,Translocation,"tloc(p(HGNC:""BAX""),fromLoc(MESHCS:""Cytosol""),toLoc(MESHCS:""Mitochondria""))",BAX,,9606.0
12227,Translocation,"tloc(p(HGNC:""DOK3""),fromLoc(MESHA:""Cytoplasm""),toLoc(MESHA:""Cell Membrane""))",DOK3,,9606.0
12228,Translocation,"tloc(p(HGNC:""MAPT""),fromLoc(GO:""extracellular space""),toLoc(GO:""intracellular part""))",MAPT,,9606.0
12229,Translocation,"tloc(a(CHEBI:""acetylcholine""),fromLoc(GO:""cytosol""),toLoc(GO:""vesicle""))",,acetylcholine,
12230,Translocation,"tloc(p(HGNC:""HTT"",frag(""1_586"")),fromLoc(GO:""cytoplasm""),toLoc(GO:""nucleus""))",HTT,,9606.0
12231,Translocation,"tloc(p(HGNC:""APP""),fromLoc(MESHCS:""Cytoplasm""),toLoc(MESHCS:""Mitochondria""))",APP,,9606.0
12232,Translocation,"tloc(p(HGNC:""BACE1""),fromLoc(MESHCS:""Cell Surface Extensions""),toLoc(MESHCS:""Endosomes""))",BACE1,,9606.0
12233,Translocation,"tloc(a(CHEBI:""amyloid-beta""),fromLoc(MESH:""Extracellular Space""),toLoc(MESH:""Cardiovascular System""))",,amyloid-beta,
12234,Translocation,"tloc(p(MGI:""Mapt""),fromLoc(MESH:""Extracellular Space""),toLoc(GO:""lysosome""))",Mapt,,10090.0
12235,Translocation,"tloc(a(MESH:""Cations, Monovalent""),fromLoc(MESH:""Extracellular Space""),toLoc(MESH:""Intracellular Space""))",,"Cations, Monovalent",
12236,Translocation,"tloc(a(CHEBI:""macromolecule""),fromLoc(MESH:""Cerebrospinal Fluid""),toLoc(MESH:""Parenchymal Tissue""))",,macromolecule,
12237,Translocation,"tloc(p(HGNC:""APP"",frag(""672_713"")),fromLoc(GO:""extracellular region""),toLoc(GO:""intracellular""))",APP,,9606.0
12238,Translocation,"tloc(a(CHEBI:""phosphatidyl-L-serine""),fromLoc(MESHCS:""Cell Membrane""),toLoc(MESHCS:""Cell Surface Extensions""))",,phosphatidyl-L-serine,
12239,Translocation,"tloc(p(CONSO:""CONSO00053"",var(""p.Lys280del"")),fromLoc(MESH:""Extracellular Space""),toLoc(GO:""lysosome""))",CONSO00053,,
12240,Translocation,"tloc(p(HGNC:""TARDBP""),fromLoc(GO:""nucleus""),toLoc(GO:""cytoplasm""))",TARDBP,,9606.0
12241,Translocation,"tloc(a(CHEBI:""acetylcholine""),fromLoc(MESH:""Synaptic Vesicles""),toLoc(GO:""synaptic cleft""))",,acetylcholine,
12242,Translocation,"tloc(p(HGNC:""PRNP""),fromLoc(MESH:""Endoplasmic Reticulum""),toLoc(GO:""cytosol""))",PRNP,,9606.0
12243,Translocation,"tloc(p(HGNCGENEFAMILY:""Glutamate ionotropic receptor NMDA type subunits""),fromLoc(GO:""plasma membrane""),toLoc(GO:""intracellular""))",Glutamate ionotropic receptor NMDA type subunits,,
12244,Translocation,"tloc(p(HGNC:""CTSC""),fromLoc(MESHCS:""Lysosomes""),toLoc(MESHCS:""Cytosol""))",CTSC,,9606.0
12245,Translocation,"tloc(p(HGNCGENEFAMILY:""MTOR complex 1""),fromLoc(GO:""cytoplasm""),toLoc(GO:""plasma membrane""))",MTOR complex 1,,
12246,Translocation,"tloc(p(CONSO:""Tau isoform F (441 aa)""),fromLoc(GO:""extracellular region""),toLoc(GO:""intracellular""))",Tau isoform F (441 aa),,
12247,Translocation,"tloc(a(CHEBI:""calcium ion""),fromLoc(GO:""pore complex""),toLoc(MESH:""Intracellular Space""))",,calcium ion,
12248,Translocation,"tloc(p(MESH:""Proteins"",pmod(ubiquitination)),fromLoc(GO:""cytosol""),toLoc(GO:""proteasome complex""))",Proteins,,
12249,Translocation,"tloc(p(HGNC:""HDAC1""),fromLoc(GO:""nucleus""),toLoc(GO:""cytosol""))",HDAC1,,9606.0
12250,Translocation,"tloc(p(HGNC:""TREM2""),fromLoc(MESHA:""Endoplasmic Reticulum""),toLoc(MESHCS:""Golgi Apparatus""))",TREM2,,9606.0
12251,Translocation,"tloc(p(HGNC:""TTLL6""),fromLoc(GO:""axon""),toLoc(MESH:""Dendritic Spines""))",TTLL6,,9606.0
12252,Translocation,"tloc(a(CHEBI:""acetylcholine""),fromLoc(GO:""vesicle""),toLoc(GO:""synapse""))",,acetylcholine,
12253,Translocation,"tloc(p(HGNC:""SNCA""),fromLoc(GO:""cytoplasm""),toLoc(GO:""nucleus""))",SNCA,,9606.0
12254,Translocation,"tloc(a(MESHC:""Cell-Penetrating Peptides""),fromLoc(GOCC:""external side of plasma membrane""),toLoc(GOCC:""cytoplasmic side of plasma membrane""))",,Cell-Penetrating Peptides,
12255,Translocation,"tloc(p(HGNC:""APP""),fromLoc(MESHCS:""trans-Golgi Network""),toLoc(MESHCS:""Endosomes""))",APP,,9606.0
12256,Translocation,"tloc(p(HGNC:""APOE""),fromLoc(MESH:""Extracellular Space""),toLoc(MESH:""Cardiovascular System""))",APOE,,9606.0
12257,Translocation,"tloc(a(MESH:""Proteins""),fromLoc(GO:""cytosol""),toLoc(CONSO:""20 S Proteasome""))",,Proteins,
12258,Translocation,"tloc(p(HGNC:""MARCKS""),fromLoc(MESHCS:""Cell Membrane""),toLoc(MESHCS:""Cytosol""))",MARCKS,,9606.0
12259,Translocation,"tloc(a(CHEBI:""macromolecule""),fromLoc(MESH:""Cerebrospinal Fluid""),toLoc(MESH:""Brain""))",,macromolecule,
12260,Translocation,"tloc(a(MESH:""Autophagosomes""),fromLoc(GO:""distal axon""),toLoc(GO:""cell body""))",,Autophagosomes,
12261,Translocation,"tloc(a(CHEBI:""cholesterol""),fromLoc(HP:""brain""),toLoc(HP:""blood""))",,cholesterol,
12262,Translocation,"tloc(a(CONSO:""alpha-synuclein fibrils""),fromLoc(GO:""extracellular region""),toLoc(GO:""intracellular""))",,alpha-synuclein fibrils,
12263,Translocation,"tloc(p(HGNC:""MAPT""),fromLoc(GO:""extracellular region""),toLoc(MESH:""Neurons""))",MAPT,,9606.0
12264,Translocation,"tloc(p(HGNC:""ACHE""),fromLoc(MESH:""Synaptic Vesicles""),toLoc(GO:""synaptic cleft""))",ACHE,,9606.0
12265,Translocation,"tloc(a(MESH:""Proteins""),fromLoc(GO:""intracellular""),toLoc(GO:""lysosome""))",,Proteins,
12266,Translocation,"tloc(a(MESH:""Calcium""),fromLoc(MESH:""Cell Membrane""),toLoc(GO:""intracellular""))",,Calcium,
12267,Translocation,"tloc(p(HGNC:""CTSD""),fromLoc(MESHCS:""Lysosomes""),toLoc(MESHCS:""Cytosol""))",CTSD,,9606.0
12268,Translocation,"tloc(p(HGNC:""MITF""),fromLoc(MESH:""Lysosomes""),toLoc(GO:""nucleus""))",MITF,,9606.0
12269,Translocation,"tloc(a(CONSO:""Tau oligomers""),fromLoc(GO:""extracellular region""),toLoc(GO:""intracellular""))",,Tau oligomers,
12270,Translocation,"tloc(p(CONSO:""CONSO00053"",var(""p.Ser262Ala""),var(""p.Ser293Ala""),var(""p.Ser324Ala""),var(""p.Ser356Ala"")),fromLoc(MESH:""Extracellular Space""),toLoc(GO:""lysosome""))",CONSO00053,,
12271,Translocation,"tloc(p(HGNC:""SNCAIP"",pmod(ubiquitination)),fromLoc(GO:""cytosol""),toLoc(MESH:""Inclusion Bodies""))",SNCAIP,,9606.0
12272,Translocation,"tloc(p(HGNC:""HDAC4""),fromLoc(GO:""cytoplasm""),toLoc(GO:""nucleus""))",HDAC4,,9606.0
12273,Translocation,"tloc(p(HGNC:""NFE2L2""),fromLoc(MESHCS:""Cytoplasm""),toLoc(MESHCS:""Cell Nucleus""))",NFE2L2,,9606.0
12274,Translocation,"tloc(p(MGI:""Siglech""),fromLoc(MESHA:""Cell Membrane""),toLoc(MESHA:""Cytoplasm""))",Siglech,,10090.0
12275,Translocation,"tloc(p(HGNCGENEFAMILY:""MTOR complex 1""),fromLoc(GO:""lysosomal membrane""),toLoc(GO:""cytoplasm""))",MTOR complex 1,,
12276,Translocation,"tloc(a(CHEBI:""calcium(2+)""),fromLoc(GO:""endoplasmic reticulum""),toLoc(MESH:""Cytoplasm""))",,calcium(2+),
12277,Translocation,"tloc(p(CONSO:""protein aggregates"",pmod(Ub)),fromLoc(GO:""cytoplasm""),toLoc(GO:""aggresome""))",protein aggregates,,
12278,Translocation,"tloc(p(HGNC:""MITF""),fromLoc(GO:""cytoplasm""),toLoc(GO:""nucleus""))",MITF,,9606.0
12279,Translocation,"tloc(a(MESHC:""penetratin""),fromLoc(GOCC:""external side of plasma membrane""),toLoc(GOCC:""cytoplasmic side of plasma membrane""))",,penetratin,
12280,Translocation,"tloc(p(SFAM:""NOTCH Family""),fromLoc(MESHCS:""Cytoplasm""),toLoc(MESHCS:""Cell Nucleus""))",NOTCH Family,,
12281,Translocation,"tloc(p(HGNC:""MAPT""),fromLoc(GO:""dendritic shaft""),toLoc(GO:""excitatory synapse""))",MAPT,,9606.0
12282,Translocation,"tloc(p(CONSO:""CONSO00053"",var(""p.Lys280Pro"")),fromLoc(MESH:""Extracellular Space""),toLoc(GO:""lysosome""))",CONSO00053,,
12283,Translocation,"tloc(a(MESH:""Cations, Divalent""),fromLoc(MESH:""Extracellular Space""),toLoc(MESH:""Intracellular Space""))",,"Cations, Divalent",
12284,Translocation,"tloc(p(HGNC:""DNM1L""),fromLoc(GO:""cytosol""),toLoc(GO:""mitochondrial outer membrane""))",DNM1L,,9606.0
12285,Translocation,"tloc(a(MESH:""Macrophages""),fromLoc(GO:""extracellular region""),toLoc(MESH:""Spinal Cord""))",,Macrophages,
12286,Translocation,"tloc(p(HGNC:""APP""),fromLoc(MESHCS:""Cell Surface Extensions""),toLoc(MESHCS:""Endosomes""))",APP,,9606.0
12287,Translocation,"tloc(p(HGNC:""ZNF45""),fromLoc(GO:""nucleus""),toLoc(GO:""cytoplasm""))",ZNF45,,9606.0
12288,Translocation,"tloc(a(CHEBI:""dextran""),fromLoc(GO:""extracellular region""),toLoc(GO:""cell body""))",,dextran,
