:ID,:LABEL,namespace:string,species:float,reactome_pathways:string,label:string,pure:boolean,chebi:float,bel:string,name:string,involved_genes:string,uniprot:string,reactome:string,hgnc:string
3360,Protein,HGNC,9606.0,,Triggering receptor expressed on myeloid cells 2,,,"p(HGNC:""TREM2"",loc(MESHA:""Extracellular Space""))",TREM2,TREM2,Q9NZC2,,1573X7915
3361,Protein,HGNC,9606.0,,Neuronal acetylcholine receptor subunit alpha-7,,,"p(HGNC:""CHRNA7"",frag(""23_46""))",CHRNA7,CHRNA7,P36544,,1567X5704
3362,Protein,MGI,10090.0,,C-C motif chemokine 8,False,,"p(MGI:""Ccl8"")",Ccl8,Ccl8,Q9Z121,,
3363,Protein,RGD,10116.0,,Peroxisome proliferator-activated receptor gamma coactivator 1-beta,False,,"p(RGD:""Ppargc1b"")",Ppargc1b,Ppargc1b,Q811R2,,
3364,Protein,RGD,10116.0,,,False,,"p(RGD:""Olr491"")",Olr491,Olr491,,,
3365,Protein,HGNC,9606.0,,Synaptic vesicle glycoprotein 2A,,,"p(HGNC:""SV2A"",pmod(Ph,S,42))",SV2A,SV2A,Q7L0J3,,1569X7783
3366,Protein,FLYBASE,7227.0,,,False,,"p(FLYBASE:""PGRP-LF"")",PGRP-LF,PGRP-LF,,,
3367,Protein,MGI,10090.0,VEGFA-VEGFR2 Pathway;AUF1 (hnRNP D0) binds and destabilizes mRNA;Extra-nuclear estrogen signaling;MAPK6/MAPK4 signaling,Heat shock protein beta-1,False,,"p(MGI:""Hspb1"")",Hspb1,Hspb1,P14602,,
3368,Protein,RGD,10116.0,,,False,,"p(RGD:""Olr267"")",Olr267,Olr267,,,
3369,Protein,HGNC,9606.0,,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,,,"p(HGNC:""PPP2R1A"",pmod(Ph,S),pmod(Ph,T))",PPP2R1A,PPP2R1A,P30153,,1566X7071
3370,Protein,MGI,10090.0,"FGFR1b ligand binding and activation;Negative regulation of FGFR1 signaling;Negative regulation of FGFR2 signaling;Downstream signaling of activated FGFR1;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;FRS-mediated FGFR1 signaling;RAF/MAP kinase cascade;FGFR2b ligand binding and activation;FRS-mediated FGFR2 signaling;SHC-mediated cascade:FGFR2;Phospholipase C-mediated cascade; FGFR2;SHC-mediated cascade:FGFR1;PI-3K cascade:FGFR1;PI-3K cascade:FGFR2;PI3K Cascade;Phospholipase C-mediated cascade: FGFR1;PIP3 activates AKT signaling;FGFRL1 modulation of FGFR1 signaling",Fibroblast growth factor 3,False,,"p(MGI:""Fgf3"")",Fgf3,Fgf3,P05524,,
3371,Protein,RGD,10116.0,,,False,,"p(RGD:""Olr161"")",Olr161,Olr161,,,
3372,Protein,HGNC,9606.0,HuR (ELAVL1) binds and stabilizes mRNA,ELAV-like protein 1,False,,"p(HGNC:""ELAVL1"")",ELAVL1,ELAVL1,Q15717,#1782:2497;#1779:14085,1566X5898
3373,Protein,MGI,10090.0,,TATA box-binding protein-like 2,False,,"p(MGI:""Tbpl2"")",Tbpl2,Tbpl2,Q6SJ95,,
3374,Protein,MGI,10090.0,"Synthesis of PC;Choline catabolism;Transport of bile salts and organic acids, metal ions and amine compounds",Choline transporter-like protein 1,False,,"p(MGI:""Slc44a1"")",Slc44a1,Slc44a1,Q6X893,,
3375,Protein,RGD,10116.0,,,False,,"p(RGD:""Olr1365"")",Olr1365,Olr1365,,,
3376,Protein,HGNCGENEFAMILY,,,,False,,"p(HGNCGENEFAMILY:""Src family tyrosine kinases"")",Src family tyrosine kinases,Src family tyrosine kinases,,,
3377,Protein,HGNC,9606.0,,Mothers against decapentaplegic homolog 3,,,"p(HGNC:""SMAD3"",pmod(Ph))",SMAD3,SMAD3,P84022,,1572X7660
3378,Protein,FLYBASE,7227.0,,,,,"p(FLYBASE:""ft"",pmod(Ph))",ft,ft,,,
3379,Protein,RGD,10116.0,,,False,,"p(RGD:""Reck"")",Reck,Reck,,,
3380,Protein,RGD,10116.0,,,False,,"p(RGD:""Olr1117"")",Olr1117,Olr1117,,,
3381,Protein,RGD,10116.0,Nuclear Receptor transcription pathway,Nuclear receptor subfamily 1 group D member 1,False,,"p(RGD:""Nr1d1"")",Nr1d1,Nr1d1,Q63503,,
3382,Protein,RGD,10116.0,MET activates RAP1 and RAC1;Downstream signal transduction;Regulation of signaling by CBL;MET receptor recycling;Erythropoietin activates RAS;Frs2-mediated activation,Crk-like protein,False,,"p(RGD:""Crkl"")",Crkl,Crkl,Q5U2U2,,
3383,Protein,RGD,10116.0,,,False,,"p(RGD:""Eml4"")",Eml4,Eml4,,,
3384,Protein,RGD,10116.0,,,False,,"p(RGD:""Scn7a"")",Scn7a,Scn7a,,,
3385,Protein,HGNC,9606.0,,Microtubule-associated protein tau,,,"p(HGNC:""MAPT"",pmod(Ac,K,274))",MAPT,MAPT,P10636,,1563X6540
3386,Protein,HGNC,9606.0,G alpha (i) signalling events;Lysosphingolipid and LPA receptors,Sphingosine 1-phosphate receptor 2,False,,"p(HGNC:""S1PR2"")",S1PR2,S1PR2,O95136,#1773:14286;#1776:2698,1573X7561
3387,Protein,MGI,10090.0,EML4 and NUDC in mitotic spindle formation,Echinoderm microtubule-associated protein-like 4,False,,"p(MGI:""Eml4"")",Eml4,Eml4,Q3UMY5,,
