:TYPE,:START_ID,:END_ID,publication_year:float,pmid:int,hdac6:boolean,autophagy:boolean,anatabine:boolean,evidence:string,document:string,pmc:string,citation:string,annotation:string,tau:boolean
CAUSES_NO_CHANGE,11611,3197,2014.0,24227736,False,False,False,"Although no Siglece mRNA was detected in primary neurons, primary microglia and a microglial line showed gene transcripts of Siglece (Fig. 1A).",#57:0,PMC3828472,"{""full_journal_name"": ""The Journal of neuroscience : the official journal of the Society for Neuroscience"", ""pub_date"": ""2014-01-06"", ""ref"": ""24227736"", ""pub_year"": 2014, ""last_author"": ""Neumann H"", ""type"": ""PubMed"", ""author_list"": [""Claude J"", ""Linnartz-Gerlach B"", ""Kudin AP"", ""Kunz WS"", ""Neumann H""], ""title"": ""Microglial CD33-related Siglec-E inhibits neurotoxicity by preventing the phagocytosis-associated oxidative burst."", ""doi"": ""10.1523/JNEUROSCI.2211-13.2013""}","{""PublicationType"": [""Research""], ""Section"": [""Results""], ""Species"": [""10090""], ""mesh"": [""Animals"", ""Antigens, CD"", ""Antigens, Differentiation, B-Lymphocyte"", ""Cells, Cultured"", ""Coculture Techniques"", ""Female"", ""Male"", ""Mice"", ""Mice, Inbred C57BL"", ""Microglia"", ""Neurons"", ""Neuroprotective Agents"", ""Phagocytosis"", ""Protein Binding"", ""Respiratory Burst"", ""Sialic Acid Binding Ig-like Lectin 3""], ""substances"": [""Antigens, CD"", ""Antigens, Differentiation, B-Lymphocyte"", ""Cd33 protein, mouse"", ""Neuroprotective Agents"", ""Sialic Acid Binding Ig-like Lectin 3"", ""Siglece protein, mouse""]}",False
CAUSES_NO_CHANGE,1411,39573,2016.0,27013968,False,False,False,"In control conditions total Erk1/2 and phospho-Erk1/2 levels were similar in WT and R6/2 cultures (Figures 4A,C). Acute exposure to BDNF increased phospho-Erk1/2 levels over control conditions in both WT and R6/2 cultures (Figures 4A,E).",#65:61,PMC4783409,"{""full_journal_name"": ""Frontiers in cellular neuroscience"", ""pub_date"": ""2016-03-25"", ""ref"": ""27013968"", ""pub_year"": 2016, ""last_author"": ""Sadikot AF"", ""type"": ""PubMed"", ""author_list"": [""Nguyen KQ"", ""Rymar VV"", ""Sadikot AF""], ""title"": ""Impaired TrkB Signaling Underlies Reduced BDNF-Mediated Trophic Support of Striatal Neurons in the R6/2 Mouse Model of Huntington's Disease."", ""doi"": ""10.3389/fncel.2016.00037""}","{""Anatomy"": [""striatum""], ""Confidence"": [""High""], ""Disease"": [""Huntington's disease""], ""Species"": [""10090""]}",False
CAUSES_NO_CHANGE,20746,37879,2005.0,15597323,False,False,False,"Cognate siRNA duplex did not affect the expression of other monocyte surface markers including CD11b and CD14, thus proving specificity (Fig. 2A).",#57:0,,"{""full_journal_name"": ""European journal of immunology"", ""pub_date"": ""2005-02-23"", ""ref"": ""15597323"", ""pub_year"": 2005, ""last_author"": ""Chizzolini C"", ""type"": ""PubMed"", ""author_list"": [""Lajaunias F"", ""Dayer JM"", ""Chizzolini C""], ""title"": ""Constitutive repressor activity of CD33 on human monocytes requires sialic acid recognition and phosphoinositide 3-kinase-mediated intracellular signaling.""}","{""PublicationType"": [""Research""], ""Section"": [""Results""], ""mesh"": [""Antibodies, Monoclonal"", ""Antigens, CD"", ""Antigens, Differentiation, Myelomonocytic"", ""Gene Silencing"", ""Humans"", ""Immunity, Innate"", ""In Vitro Techniques"", ""Inflammation"", ""Interleukin-1"", ""Interleukin-8"", ""Monocytes"", ""N-Acetylneuraminic Acid"", ""Phosphatidylinositol 3-Kinases"", ""Sialic Acid Binding Ig-like Lectin 3"", ""Signal Transduction"", ""Tumor Necrosis Factor-alpha"", ""p38 Mitogen-Activated Protein Kinases""], ""substances"": [""Antibodies, Monoclonal"", ""Antigens, CD"", ""Antigens, Differentiation, Myelomonocytic"", ""CD33 protein, human"", ""Interleukin-1"", ""Interleukin-8"", ""Sialic Acid Binding Ig-like Lectin 3"", ""Tumor Necrosis Factor-alpha"", ""Phosphatidylinositol 3-Kinases"", ""p38 Mitogen-Activated Protein Kinases"", ""N-Acetylneuraminic Acid""]}",False
CAUSES_NO_CHANGE,40161,822,2009.0,19277525,False,False,False,"By contrast, several recent studies using purified, recombinant proteins showed that the methylation status of the catalytic subunit did not play a decisive role for the in vitro assembly of PP2A holoenzymes involving the B and B′ subunit",#57:33,,"{""full_journal_name"": ""Science in China. Series C, Life sciences"", ""pub_date"": ""2009-05-19"", ""ref"": ""19277525"", ""pub_year"": 2009, ""last_author"": ""Shi Y"", ""type"": ""PubMed"", ""author_list"": [""Shi Y""], ""title"": ""Assembly and structure of protein phosphatase 2A."", ""doi"": ""10.1007/s11427-009-0018-3""}","{""Confidence"": [""High""], ""mesh"": [""Biopolymers"", ""Catalytic Domain"", ""Models, Molecular"", ""Protein Conformation"", ""Protein Phosphatase 2""], ""substances"": [""Biopolymers"", ""Protein Phosphatase 2""]}",False
CAUSES_NO_CHANGE,26554,342,2018.0,27671637,False,False,False,"Having observed that 64627 restores presynaptic functioning (i.e., PPF, Fig. 4F), neuronal activity (induction of Fos, Fig. 4D), and dendritic spine levels in proaggregant Tau transgenic organotypic slices (Fig. 5 A and B), we tested whether we could restore long-term spatial memory in proaggregant Tau transgenic mice as well",#65:55,PMC5068267,"{""full_journal_name"": ""Proceedings of the National Academy of Sciences of the United States of America"", ""pub_date"": ""2018-01-30"", ""ref"": ""27671637"", ""pub_year"": 2018, ""last_author"": ""Mandelkow EM"", ""type"": ""PubMed"", ""author_list"": [""Dennissen FJ"", ""Anglada-Huguet M"", ""Sydow A"", ""Mandelkow E"", ""Mandelkow EM""], ""title"": ""Adenosine A1 receptor antagonist rolofylline alleviates axonopathy caused by human Tau \u0394K280.""}","{""Confidence"": [""Medium""], ""MeSHAnatomy"": [""Axons""], ""Species"": [""10090""], ""mesh"": [""Adenosine A1 Receptor Antagonists"", ""Adenosine Triphosphate"", ""Animals"", ""Axons"", ""Dendritic Spines"", ""Disease Models, Animal"", ""Fluorescent Antibody Technique"", ""Gene Expression"", ""Hippocampus"", ""Humans"", ""Memory, Long-Term"", ""Mice"", ""Mice, Transgenic"", ""Mitochondria"", ""Neurons"", ""Phosphorylation"", ""Protein Aggregates"", ""Protein Aggregation, Pathological"", ""Sequence Deletion"", ""Synaptic Transmission"", ""Tauopathies"", ""Xanthines"", ""tau Proteins""], ""substances"": [""Adenosine A1 Receptor Antagonists"", ""Protein Aggregates"", ""Xanthines"", ""tau Proteins"", ""rolofylline"", ""Adenosine Triphosphate""]}",False
CAUSES_NO_CHANGE,41007,25454,2017.0,28148553,False,False,False,"None of the lentiviral models significantly increased PERK or pPERK, showing that tau overload per se is not sufficient to activate the UPR.",#59:55,PMC5331260,"{""full_journal_name"": ""EMBO molecular medicine"", ""pub_date"": ""2017-10-04"", ""ref"": ""28148553"", ""pub_year"": 2017, ""last_author"": ""H\u00f6glinger GU"", ""type"": ""PubMed"", ""author_list"": [""Bruch J"", ""Xu H"", ""R\u00f6sler TW"", ""De Andrade A"", ""Kuhn PH"", ""Lichtenthaler SF"", ""Arzberger T"", ""Winklhofer KF"", ""M\u00fcller U"", ""H\u00f6glinger GU""], ""title"": {""#text"": ""PERK activation mitigates tau pathology  and ."", ""i"": [""in\u00a0vitro"", ""in\u00a0vivo""]}, ""doi"": ""10.15252/emmm.201606664""}","{""Cell"": [""neuroblast""], ""CellLine"": [""immortal human fetal membrane-derived cell line cell""], ""Confidence"": [""High""], ""mesh"": [""Animals"", ""Brain"", ""Cell Survival"", ""Cells, Cultured"", ""Humans"", ""Locomotion"", ""Memory"", ""Mice, Transgenic"", ""Phosphorylation"", ""Protein Conformation"", ""Protein Processing, Post-Translational"", ""Tauopathies"", ""eIF-2 Kinase"", ""tau Proteins""], ""substances"": [""MAPT protein, human"", ""tau Proteins"", ""EIF2AK3 protein, human"", ""eIF-2 Kinase""]}",False
CAUSES_NO_CHANGE,11615,12491,2019.0,29590627,False,False,False,"Conversely, dynamin inhibition significantly reduced the entry of aggregated tau, with no significant effects of Cytochalasin D (Figure S6) at this relatively high molar concent of aggregated tau",#57:66,PMC5896171,"{""full_journal_name"": ""Cell reports"", ""pub_date"": ""2019-11-05"", ""ref"": ""29590627"", ""pub_year"": 2019, ""last_author"": ""Livesey FJ"", ""type"": ""PubMed"", ""author_list"": [""Evans LD"", ""Wassmer T"", ""Fraser G"", ""Smith J"", ""Perkinton M"", ""Billinton A"", ""Livesey FJ""], ""title"": ""Extracellular Monomeric and Aggregated Tau Efficiently Enter Human Neurons through Overlapping but Distinct Pathways."", ""doi"": ""10.1016/j.celrep.2018.03.021""}","{""mesh"": [""Cerebral Cortex"", ""Dynamins"", ""Endocytosis"", ""Human Embryonic Stem Cells"", ""Humans"", ""Induced Pluripotent Stem Cells"", ""Neurons"", ""Phosphorylation"", ""Protein Aggregation, Pathological"", ""tau Proteins""], ""substances"": [""MAPT protein, human"", ""tau Proteins"", ""Dynamins""]}",False
CAUSES_NO_CHANGE,1411,2312,2016.0,27013968,False,False,False,"Counts of DAPI+ staining, a DNA label that identifies all cell nuclei in culture, revealed that total cell density was similar in WT and R6/2 cultures (211 ± 22 and 208 ± 14 cells/mm2, respectively; Figures 2A,B) after 7 DIV in basal media. Concurrently, MAP2+ staining (microtubule associated protein 2; a neuron-specific cytoskeletal protein) indicated a similar sized population of neuronal cells in WT and R6/2 cultures (100 ± 14 and 103 ± 7 cells/mm2, respectively; Figures 2A,B).",#65:61,PMC4783409,"{""full_journal_name"": ""Frontiers in cellular neuroscience"", ""pub_date"": ""2016-03-25"", ""ref"": ""27013968"", ""pub_year"": 2016, ""last_author"": ""Sadikot AF"", ""type"": ""PubMed"", ""author_list"": [""Nguyen KQ"", ""Rymar VV"", ""Sadikot AF""], ""title"": ""Impaired TrkB Signaling Underlies Reduced BDNF-Mediated Trophic Support of Striatal Neurons in the R6/2 Mouse Model of Huntington's Disease."", ""doi"": ""10.3389/fncel.2016.00037""}","{""Anatomy"": [""striatum""], ""Confidence"": [""High""], ""Disease"": [""Huntington's disease""], ""Species"": [""10090""]}",False
CAUSES_NO_CHANGE,2017,36907,2011.0,21482353,False,False,False,"While chronic nicotine does not change the abundance or function of alpha4* nAChRs in the somata of substantia nigra pars compacta dopaminergic neurons, it does suppress baseline firing rates of these DA neurons.",#70:39,PMC4418790,"{""full_journal_name"": ""Neuron"", ""pub_date"": ""2011-06-07"", ""ref"": ""21482353"", ""pub_year"": 2011, ""last_author"": ""Lester HA"", ""type"": ""PubMed"", ""author_list"": [""Miwa JM"", ""Freedman R"", ""Lester HA""], ""title"": ""Neural systems governed by nicotinic acetylcholine receptors: emerging hypotheses."", ""doi"": ""10.1016/j.neuron.2011.03.014""}","{""Confidence"": [""High""], ""MeSHAnatomy"": [""Pars Compacta""], ""Species"": [""10090""], ""mesh"": [""Animals"", ""Cholinergic Fibers"", ""Humans"", ""Nervous System Diseases"", ""Neural Pathways"", ""Neurons"", ""Receptors, Nicotinic""], ""substances"": [""Receptors, Nicotinic""]}",False
CAUSES_NO_CHANGE,38407,44067,2009.0,19713215,False,False,False,"Arhgef5 can strongly activate RhoA and RhoB and weakly RhoC and RhoG, but not Rac1, RhoQ, RhoD, or RhoV, in transfected human embryonic kidney 293 cells.",#59:5,PMC2781403,"{""full_journal_name"": ""The Journal of biological chemistry"", ""pub_date"": ""2009-11-24"", ""ref"": ""19713215"", ""pub_year"": 2009, ""last_author"": ""Wu D"", ""type"": ""PubMed"", ""author_list"": [""Wang Z"", ""Kumamoto Y"", ""Wang P"", ""Gan X"", ""Lehmann D"", ""Smrcka AV"", ""Cohn L"", ""Iwasaki A"", ""Li L"", ""Wu D""], ""title"": ""Regulation of immature dendritic cell migration by RhoA guanine nucleotide exchange factor Arhgef5."", ""doi"": ""10.1074/jbc.M109.047282""}","{""CellLine"": [""HEK293""], ""Subgraph"": [""RhoA subgraph""], ""mesh"": [""Animals"", ""Asthma"", ""Cell Culture Techniques"", ""Cell Movement"", ""Chemotaxis"", ""Dendritic Cells"", ""Gene Expression Regulation"", ""Guanine Nucleotide Exchange Factors"", ""Humans"", ""Luciferases"", ""Mice"", ""Mice, Transgenic"", ""Ovalbumin"", ""Proto-Oncogene Proteins"", ""Rho Guanine Nucleotide Exchange Factors"", ""rhoA GTP-Binding Protein""], ""substances"": [""ARHGEF5 protein, human"", ""Guanine Nucleotide Exchange Factors"", ""Proto-Oncogene Proteins"", ""Rho Guanine Nucleotide Exchange Factors"", ""Ovalbumin"", ""Luciferases"", ""rhoA GTP-Binding Protein""]}",False
