:TYPE,:START_ID,:END_ID,publication_year:int,pmid:int,hdac6:boolean,autophagy:boolean,anatabine:boolean,evidence:string,document:string,pmc:string,citation:string,annotation:string,tau:boolean
DIRECTLY_DECREASES,2137,2132,2014,24227736,False,False,False,Increased neurotoxicity of microglia after knockdown of Siglece mRNA was neutralized by the reactive oxygen species scavenger Trolox.,#57:0,PMC3828472,"{""full_journal_name"": ""The Journal of neuroscience : the official journal of the Society for Neuroscience"", ""pub_date"": ""2014-01-06"", ""ref"": ""24227736"", ""pub_year"": 2014, ""last_author"": ""Neumann H"", ""type"": ""PubMed"", ""author_list"": [""Claude J"", ""Linnartz-Gerlach B"", ""Kudin AP"", ""Kunz WS"", ""Neumann H""], ""title"": ""Microglial CD33-related Siglec-E inhibits neurotoxicity by preventing the phagocytosis-associated oxidative burst."", ""doi"": ""10.1523/JNEUROSCI.2211-13.2013""}","{""PublicationType"": [""Research""], ""Section"": [""Abstract""], ""Species"": [""10090""], ""mesh"": [""Animals"", ""Antigens, CD"", ""Antigens, Differentiation, B-Lymphocyte"", ""Cells, Cultured"", ""Coculture Techniques"", ""Female"", ""Male"", ""Mice"", ""Mice, Inbred C57BL"", ""Microglia"", ""Neurons"", ""Neuroprotective Agents"", ""Phagocytosis"", ""Protein Binding"", ""Respiratory Burst"", ""Sialic Acid Binding Ig-like Lectin 3""], ""substances"": [""Antigens, CD"", ""Antigens, Differentiation, B-Lymphocyte"", ""Cd33 protein, mouse"", ""Neuroprotective Agents"", ""Sialic Acid Binding Ig-like Lectin 3"", ""Siglece protein, mouse""]}",False
DIRECTLY_DECREASES,1920,30128,2013,23737518,False,False,False,"Small molecules in the diaminothiazole class are potent Tau kinase inhibitors that target CDK5 and GSK3β. Lead compounds from the series have IC50 values toward CDK5/p25 and GSK3β in the low nanomolar range and no observed toxicity in the therapeutic dose range. Neuronal protective effects and decreased PHF-1 immunoreactivity were observed in two animal models, 3×Tg-AD and CK-p25. Treatment nearly eliminated Sarkosyl-insoluble Tau with the most prominent effect on the phosphorylation at Ser-404. Treatment also induced the recovery of memory in a fear conditioning assay.",#60:23,PMC3724657,"{""full_journal_name"": ""The Journal of biological chemistry"", ""pub_date"": ""2013-11-04"", ""ref"": ""23737518"", ""pub_year"": 2013, ""last_author"": ""Kosik KS"", ""type"": ""PubMed"", ""author_list"": [""Zhang X"", ""Hernandez I"", ""Rei D"", ""Mair W"", ""Laha JK"", ""Cornwell ME"", ""Cuny GD"", ""Tsai LH"", ""Steen JA"", ""Kosik KS""], ""title"": ""Diaminothiazoles modify Tau phosphorylation and improve the tauopathy in mouse models."", ""doi"": ""10.1074/jbc.M112.436402""}","{""Confidence"": [""Medium""], ""Half_life"": [""30 min""], ""IC50"": [""30 nM""], ""Species"": [""10116""], ""mesh"": [""Alzheimer Disease"", ""Amyloid beta-Peptides"", ""Animals"", ""Blotting, Western"", ""Cyclin-Dependent Kinase 5"", ""Diamines"", ""Disease Models, Animal"", ""Glycogen Synthase Kinase 3"", ""Glycogen Synthase Kinase 3 beta"", ""Humans"", ""Injections, Intraperitoneal"", ""Injections, Intraventricular"", ""Injections, Subcutaneous"", ""Learning"", ""Male"", ""Memory"", ""Mice"", ""Mice, Transgenic"", ""Neuroprotective Agents"", ""Phosphorylation"", ""Presenilin-1"", ""Protein Kinase Inhibitors"", ""Tauopathies"", ""Thiazoles"", ""Treatment Outcome"", ""tau Proteins""], ""substances"": [""Amyloid beta-Peptides"", ""Diamines"", ""Neuroprotective Agents"", ""Presenilin-1"", ""Protein Kinase Inhibitors"", ""Thiazoles"", ""tau Proteins"", ""Cyclin-Dependent Kinase 5"", ""GSK3B protein, human"", ""Glycogen Synthase Kinase 3 beta"", ""Gsk3b protein, mouse"", ""Glycogen Synthase Kinase 3""]}",False
DIRECTLY_DECREASES,11888,19086,2018,27550730,False,False,False,"Here we report the discovery of a new first-in-class small-molecule (CM-414) that acts as a dual inhibitor of PDE5 and HDACs. We have used this compound as a chemical probe to validate this systems therapeutics strategy, where an increase in the activation of cAMP/cGMP-responsive element-binding protein (CREB) induced by PDE5 inhibition, combined with moderate HDAC class I inhibition, leads to efficient histone acetylation. This molecule rescued the impaired long-term potentiation evident in hippocampal slices from APP/PS1 mice. Chronic treatment of Tg2576 mice with CM-414 diminished brain Aβ and tau phosphorylation (pTau) levels, increased the inactive form of GSK3β, reverted the decrease in dendritic spine density on hippocampal neurons, and reversed their cognitive deficits, at least in part by inducing the expression of genes related to synaptic transmission.",#60:23,PMC5399234,"{""full_journal_name"": ""Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology"", ""pub_date"": ""2018-01-05"", ""ref"": ""27550730"", ""pub_year"": 2018, ""last_author"": ""Garcia-Osta A"", ""type"": ""PubMed"", ""author_list"": [""Cuadrado-Tejedor M"", ""Garcia-Barroso C"", ""S\u00e1nchez-Arias JA"", ""Rabal O"", ""P\u00e9rez-Gonz\u00e1lez M"", ""Mederos S"", ""Ugarte A"", ""Franco R"", ""Segura V"", ""Perea G"", ""Oyarzabal J"", ""Garcia-Osta A""], ""title"": ""A First-in-Class Small-Molecule that Acts as a Dual Inhibitor of HDAC and PDE5 and that Rescues Hippocampal Synaptic Impairment in Alzheimer's Disease Mice."", ""doi"": ""10.1038/npp.2016.163""}","{""Confidence"": [""Medium""], ""Species"": [""10090""], ""mesh"": [""Alzheimer Disease"", ""Animals"", ""Behavior, Animal"", ""Disease Models, Animal"", ""Female"", ""Hippocampus"", ""Histone Deacetylase Inhibitors"", ""Mice"", ""Mice, Transgenic"", ""Motor Activity"", ""Neuronal Plasticity"", ""Phosphodiesterase 5 Inhibitors"", ""Primary Cell Culture"", ""Pyrazoles"", ""Pyrimidinones""], ""substances"": [""CM-414"", ""Histone Deacetylase Inhibitors"", ""Phosphodiesterase 5 Inhibitors"", ""Pyrazoles"", ""Pyrimidinones""]}",False
DIRECTLY_DECREASES,37439,41145,2019,29334120,False,False,False,"We recently found that overexpression of TDP-43 enhances tau exon 10 inclusion and tau mRNA instability. Overexpression of PP1α and PP1γ, but not PP1β, suppressed TDP-43 phosphorylation at Ser403/404 and Ser409/410 and TDP-43-induced tau exon 10 inclusion.",#60:23,,"{""full_journal_name"": ""FEBS letters"", ""pub_date"": ""2019-01-07"", ""ref"": ""29334120"", ""pub_year"": 2019, ""last_author"": ""Liu F"", ""type"": ""PubMed"", ""author_list"": [""Gu J"", ""Wang W"", ""Miao S"", ""Chen F"", ""Wu F"", ""Hu W"", ""Iqbal K"", ""Gong CX"", ""Liu F""], ""title"": ""Protein Phosphatase 1 dephosphorylates TDP-43 and suppresses its function in tau exon 10 inclusion."", ""doi"": ""10.1002/1873-3468.12976""}","{""Confidence"": [""High""], ""mesh"": [""Alternative Splicing"", ""DNA-Binding Proteins"", ""Exons"", ""HEK293 Cells"", ""HeLa Cells"", ""Humans"", ""Marine Toxins"", ""Okadaic Acid"", ""Oxazoles"", ""Phosphorylation"", ""Protein Phosphatase 1"", ""Protein Phosphatase 2"", ""Serine"", ""Up-Regulation"", ""tau Proteins""], ""substances"": [""DNA-Binding Proteins"", ""Marine Toxins"", ""Oxazoles"", ""TARDBP protein, human"", ""tau Proteins"", ""Okadaic Acid"", ""Serine"", ""calyculin A"", ""Protein Phosphatase 1"", ""Protein Phosphatase 2""]}",False
DIRECTLY_DECREASES,21479,41371,2009,19401603,False,False,False,Pin1 is indicated to facilitate Tau dephosphorylation via PP2A by binding to the phospho-Thr-231-Pro or phospho-Thr-212-Pro site,#60:23,PMC2719320,"{""full_journal_name"": ""The Journal of biological chemistry"", ""pub_date"": ""2009-10-20"", ""ref"": ""19401603"", ""pub_year"": 2009, ""last_author"": ""Hisanaga SI"", ""type"": ""PubMed"", ""author_list"": [""Yotsumoto K"", ""Saito T"", ""Asada A"", ""Oikawa T"", ""Kimura T"", ""Uchida C"", ""Ishiguro K"", ""Uchida T"", ""Hasegawa M"", ""Hisanaga SI""], ""title"": ""Effect of Pin1 or microtubule binding on dephosphorylation of FTDP-17 mutant Tau."", ""doi"": ""10.1074/jbc.M109.003277""}","{""Confidence"": [""Medium""], ""mesh"": [""Amino Acid Substitution"", ""Animals"", ""Base Sequence"", ""Brain"", ""DNA Primers"", ""Humans"", ""In Vitro Techniques"", ""Kinetics"", ""Mice"", ""Mice, Knockout"", ""Microtubules"", ""Models, Neurological"", ""Mutation"", ""NIMA-Interacting Peptidylprolyl Isomerase"", ""Peptide Mapping"", ""Peptidylprolyl Isomerase"", ""Phosphorylation"", ""Protein Conformation"", ""Rats"", ""Recombinant Proteins"", ""Tauopathies"", ""tau Proteins""], ""substances"": [""DNA Primers"", ""MAPT protein, human"", ""NIMA-Interacting Peptidylprolyl Isomerase"", ""Recombinant Proteins"", ""tau Proteins"", ""PIN1 protein, human"", ""Peptidylprolyl Isomerase"", ""Pin1 protein, mouse""]}",False
DIRECTLY_DECREASES,2137,6743,2016,26582367,False,False,False,"As a control we scavenged the superoxide by addition of superoxide dismutase-1 (SOD1) or by addition of Trolox, a water-soluble analog of vitamin E, into the medium. Both scavengers neutralized the superoxide that was induced by neural debris (Fig. 5d).",#57:0,PMC4652165,"{""full_journal_name"": ""Scientific reports"", ""pub_date"": ""2016-09-12"", ""ref"": ""26582367"", ""pub_year"": 2016, ""last_author"": ""Neumann H"", ""type"": ""PubMed"", ""author_list"": [""Shahraz A"", ""Kopatz J"", ""Mathy R"", ""Kappler J"", ""Winter D"", ""Kapoor S"", ""Sch\u00fctza V"", ""Scheper T"", ""Gieselmann V"", ""Neumann H""], ""title"": ""Anti-inflammatory activity of low molecular weight polysialic acid on human macrophages."", ""doi"": ""10.1038/srep16800""}","{""ChallengeType"": [""neural debris""], ""MeSHAnatomy"": [""Macrophages""], ""PublicationType"": [""Research""], ""Section"": [""Results""], ""TechnologyUsed"": [""Confocal Microscopy""], ""mesh"": [""Amyloid beta-Peptides"", ""Anti-Inflammatory Agents"", ""Cell Line"", ""Chromatography, High Pressure Liquid"", ""Homeostasis"", ""Humans"", ""Lectins"", ""Lipopolysaccharides"", ""Macrophages"", ""Membrane Proteins"", ""Microspheres"", ""Molecular Weight"", ""Neuroprotective Agents"", ""Phagocytosis"", ""Polymerization"", ""Respiratory Burst"", ""Sialic Acids"", ""Tumor Necrosis Factor-alpha""], ""substances"": [""Amyloid beta-Peptides"", ""Anti-Inflammatory Agents"", ""Lectins"", ""Lipopolysaccharides"", ""Membrane Proteins"", ""Neuroprotective Agents"", ""SIGLEC11 protein, human"", ""Sialic Acids"", ""TNF protein, human"", ""Tumor Necrosis Factor-alpha"", ""polysialic acid""]}",False
DIRECTLY_DECREASES,26960,7161,2006,16687508,False,False,False,"Alzheimer's disease (AD) is associated with accumulations of amyloid- beta (Abeta) peptides, oxidative damage, mitochondrial dysfunction, neurodegeneration, and dementia",#59:5,PMC6674260,"{""full_journal_name"": ""The Journal of neuroscience : the official journal of the Society for Neuroscience"", ""pub_date"": ""2006-05-31"", ""ref"": ""16687508"", ""pub_year"": 2006, ""last_author"": ""Mucke L"", ""type"": ""PubMed"", ""author_list"": [""Esposito L"", ""Raber J"", ""Kekonius L"", ""Yan F"", ""Yu GQ"", ""Bien-Ly N"", ""Puoliv\u00e4li J"", ""Scearce-Levie K"", ""Masliah E"", ""Mucke L""], ""title"": ""Reduction in mitochondrial superoxide dismutase modulates Alzheimer's disease-like pathology and accelerates the onset of behavioral changes in human amyloid precursor protein transgenic mice.""}","{""MeSHDisease"": [""Alzheimer Disease""], ""Subgraph"": [""Amyloidogenic subgraph"", ""Response to oxidative stress""], ""mesh"": [""Alzheimer Disease"", ""Amyloid beta-Protein Precursor"", ""Animals"", ""Enzyme Activation"", ""Humans"", ""Mental Disorders"", ""Mice"", ""Mice, Transgenic"", ""Mitochondria"", ""Protease Nexins"", ""Receptors, Cell Surface"", ""Superoxide Dismutase""], ""substances"": [""Amyloid beta-Protein Precursor"", ""Protease Nexins"", ""Receptors, Cell Surface"", ""Superoxide Dismutase"", ""superoxide dismutase 2""]}",False
DIRECTLY_DECREASES,1847,7180,2017,27794524,False,False,False,"Several phase III clinical trials using IFNbeta1a and IFNbeta1b in SPMS did not show permanent disability delay, but did reduce relapses risk (SPECTRIMS Study Group, 2001; Cohen et al., 2002; Andersen et al., 2004; Panitch et al.,2004).",#61:20,,"{""full_journal_name"": ""Brain : a journal of neurology"", ""pub_date"": ""2017-05-29"", ""ref"": ""27794524"", ""pub_year"": 2017, ""last_author"": ""Fiol MP"", ""type"": ""PubMed"", ""author_list"": [""Correale J"", ""Gait\u00e1n MI"", ""Ysrraelit MC"", ""Fiol MP""], ""title"": ""Progressive multiple sclerosis: from pathogenic mechanisms to treatment."", ""doi"": ""10.1093/brain/aww258""}","{""Confidence"": [""High""], ""mesh"": [""Disease Progression"", ""Humans"", ""Magnetic Resonance Imaging"", ""Multiple Sclerosis""]}",False
DIRECTLY_DECREASES,9390,2230,2013,22613765,False,False,False,"Taken together, our results identify the AICD as a novel inhibitory factor of the canonical Wnt signalling pathway and suggest its regulatory role in neuronal cell proliferation and differentiation.",#59:5,,"{""full_journal_name"": ""Biochimica et biophysica acta"", ""pub_date"": ""2013-02-21"", ""ref"": ""22613765"", ""pub_year"": 2013, ""last_author"": ""Zhang L"", ""type"": ""PubMed"", ""author_list"": [""Zhou F"", ""Gong K"", ""Song B"", ""Ma T"", ""van Laar T"", ""Gong Y"", ""Zhang L""], ""title"": ""The APP intracellular domain (AICD) inhibits Wnt signalling and promotes neurite outgrowth."", ""doi"": ""10.1016/j.bbamcr.2012.05.011""}","{""Condition"": [""Normal Healthy State""], ""Subgraph"": [""Wnt signaling subgraph""], ""mesh"": [""Amyloid Precursor Protein Secretases"", ""Amyloid beta-Protein Precursor"", ""Animals"", ""Cell Proliferation"", ""Gene Expression"", ""Gene Expression Regulation"", ""Genes, Reporter"", ""Glycogen Synthase Kinase 3"", ""Glycogen Synthase Kinase 3 beta"", ""HEK293 Cells"", ""Humans"", ""Luciferases, Renilla"", ""Membrane Glycoproteins"", ""Mice"", ""Nerve Growth Factor"", ""Neurites"", ""Neurons"", ""Primary Cell Culture"", ""Protein Structure, Tertiary"", ""Proto-Oncogene Proteins c-myc"", ""Wnt Signaling Pathway""], ""substances"": [""Amyloid beta-Protein Precursor"", ""Membrane Glycoproteins"", ""Myc protein, mouse"", ""Proto-Oncogene Proteins c-myc"", ""nicastrin protein"", ""Nerve Growth Factor"", ""Luciferases, Renilla"", ""GSK3B protein, human"", ""Glycogen Synthase Kinase 3 beta"", ""Gsk3b protein, mouse"", ""Gsk3b protein, rat"", ""Glycogen Synthase Kinase 3"", ""Amyloid Precursor Protein Secretases""]}",False
DIRECTLY_DECREASES,26819,32340,2010,19996109,False,False,False,We have previously proposed that CLU-client complexes serve as vehicles to dispose of damaged misfolded extracellular proteins in vivo via receptor-mediated endocytosis,#59:5,PMC2823492,"{""full_journal_name"": ""The Journal of biological chemistry"", ""pub_date"": ""2010-04-09"", ""ref"": ""19996109"", ""pub_year"": 2010, ""last_author"": ""Wilson MR"", ""type"": ""PubMed"", ""author_list"": [""Wyatt AR"", ""Wilson MR""], ""title"": ""Identification of human plasma proteins as major clients for the extracellular chaperone clusterin."", ""doi"": ""10.1074/jbc.M109.079566""}","{""Subgraph"": [""Endosomal lysosomal subgraph"", ""Non-amyloidogenic subgraph""], ""mesh"": [""Blood Proteins"", ""Blotting, Western"", ""Ceruloplasmin"", ""Chromatography, Affinity"", ""Chromatography, Gel"", ""Clusterin"", ""Electrophoresis, Polyacrylamide Gel"", ""Enzyme-Linked Immunosorbent Assay"", ""Extracellular Space"", ""Fibrinogen"", ""Humans"", ""Molecular Chaperones"", ""Molecular Weight"", ""Protein Binding"", ""Proteomics"", ""Serum Albumin"", ""Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization"", ""Stress, Mechanical"", ""Temperature""], ""substances"": [""Blood Proteins"", ""Clusterin"", ""Molecular Chaperones"", ""Serum Albumin"", ""Fibrinogen"", ""Ceruloplasmin""]}",False
